code,year,FarmCredit,ICTPolicy,ProductionValue,ProcessingValue,Fertilizer
BGD,2000,,,583661.0,,158.108
BGD,2001,,,590372.0,,174.59
BGD,2002,3178.321934,,599004.0,,188.639
BGD,2003,2942.973463,,630569.0,,160.267
BGD,2004,2974.393198,,672025.0,,170.671
BGD,2005,3069.514169,,716238.0,,
BGD,2006,2675.826762,,869847.0,,
BGD,2007,2413.54964,,992642.057548,,
BGD,2008,2510.68258,,1137247.206884,,
BGD,2009,2643.880214,,1257108.884705,,
BGD,2010,2794.198196,,1433063.587456,,
BGD,2011,3271.100803,,1649774.675204,,
BGD,2012,3213.392664,,1854819.700092,249808.744409,
BGD,2012,3213.392664,,1854819.700092,3669.694917,
BGD,2013,3296.803356,,2046420.978943,,
BGD,2014,3524.70497,,2304185.689737,,
BGD,2015,3778.212713,,2537948.927332,,
BGD,2016,4130.25207,,2795049.697768,,
BGD,2017,4323.608872,,3011669.616647,,
BGD,2018,4762.082962,,3293801.75796,718222.475005,
BGD,2018,4762.082962,,3293801.75796,8075.724265,
BGD,2019,4957.591367,,3534431.16956,,
BGD,2020,4861.044882,,3804463.844017,854325.083976,
BGD,2020,4861.044882,,3804463.844017,9224.303917,
BGD,2021,5184.469024,6.79012,4106614.076534,,
BGD,2022,5827.916712,,4455312.973039,,
BGD,2023,6122.73632,6.79012,4860227.0,,
BRN,2000,,,113.311679,,
BRN,2001,,,121.729417,,
BRN,2002,,,122.307641,,168.0
BRN,2003,,,149.249533,,51.0
BRN,2004,,,160.36841,,75.75
BRN,2005,,,160.582234,,
BRN,2006,,,137.617478,,
BRN,2007,,,136.073665,,
BRN,2008,,,138.985955,,
BRN,2009,,,151.708516,,
BRN,2010,,,137.061534,,
BRN,2011,,,133.471398,,
BRN,2012,,,155.942361,,
BRN,2013,,,155.061507,,
BRN,2014,,,186.919444,,
BRN,2015,,,196.129189,,
BRN,2016,,,189.548245,,
BRN,2017,,,181.955315,,
BRN,2018,,,186.235156,,
BRN,2019,,,181.187496,,
BRN,2020,,,201.672515,,
BRN,2021,,9.5679,236.459253,,
BRN,2022,,,252.150902,,
BRN,2023,,12.6543,267.913849,,
BTN,2000,,,5289.423369,,
BTN,2001,6.586921,,5748.565569,,
BTN,2002,7.142008,,6661.754135,,6.94231
BTN,2003,7.463065,,7066.17825,,6.99363
BTN,2004,6.466568,,7635.068719,,7.39873
BTN,2005,6.480051,,7099.28,,
BTN,2006,6.213952,,7676.83,,
BTN,2007,7.765603,,8085.33,,
BTN,2008,12.564398,,8750.05,,
BTN,2009,15.080762,,9670.96,,
BTN,2010,10.655241,,10463.897685,,
BTN,2011,13.788605,,11856.47508,,
BTN,2012,20.394189,,13291.848121,,
BTN,2013,26.59748,,14501.322966,,
BTN,2014,36.919514,,16893.192338,,
BTN,2015,54.361563,,17986.896488,,
BTN,2016,66.55666,,19598.952321,,
BTN,2017,72.02791,,21819.451338,,
BTN,2018,79.122159,,23940.810579,,
BTN,2019,85.10715,,24916.971646,,
BTN,2020,85.779739,,28596.465327,,
BTN,2021,79.381617,8.17901,32326.302027,,
BTN,2022,57.475975,,33422.57756,,
