,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,Botswana,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,565.262368177828,680.4986824454417,728.0950151111242,842.3389974695225,1047.147680782823,1162.565096930575,1684.847572034011,1344.203653768742,
1,Ghana,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,458.7285545631398,597.5153252205329,683.8531252590903,738.4944834390298,853.4432626272578,868.8845876135405,966.3319984214684,966.9810950064704,
2,"San Marino, Republic of",Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,,,,,,,,,
3,"Latvia, Republic of",Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,,,,,,,,,
4,Chad,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,0.0401947868555352,0.1835972618657732,15.5496705220548,14.3921936800559,18.5533797948801,23.45135262816538,25.81149259429971,,
5,Jordan,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,1.26591149469768,8.392474439847051,,,,,,,
6,Mali,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,226.0765441767482,229.1605361498783,265.1212421205267,285.237356526741,275.416463498752,366.7765355934015,449.6078494804431,443.4399291133543,
7,Myanmar,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,2.33093472550042,16.3023992933571,17.0846435730013,21.3453723991582,,,,,
8,"Madagascar, Republic of",Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,52.58874747336883,66.71673490670234,27.16783513977805,136.9331952587167,152.2629816893314,175.0726211719128,210.852111320089,,
9,Nepal,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,,,,30.5068086733685,50.90948433081201,93.01921922106006,213.8901701056981,287.1744543459392,
10,Burkina Faso,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,148.8336386774542,333.8692062688115,514.5270379893619,637.1761357193019,753.9971554970421,1014.053339678285,1044.720831691499,676.3502543795305,
11,Solomon Islands,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,,,,,,,,,
12,Bulgaria,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,,,,,,,,,
13,"Armenia, Republic of",Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,,,,,,,,,
14,Liberia,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,,90.0458927655551,119.7113733647812,259.037652748332,413.248859723782,503.7010366689234,847.4523542432055,729.9252267921959,
15,Guinea-Bissau,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,24.26039036940902,38.58765254000265,92.6976396690556,416.655192331507,1090.505237976358,1303.037353992206,1564.730420438639,1894.000278831097,
16,Zimbabwe,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,394.6990269291695,540.4329667287889,700.7731932873636,728.1189601667259,564.1337455243099,436.8309968514512,809.2103613132994,901.6631202816316,
17,"Fiji, Republic of",Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,26.3924822547005,27.8648922230433,32.087175344272,235.264981136151,262.192362158455,,721.204880628293,,
18,South Africa,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,,,,,52.59363618057046,109.0370083745299,184.2181971441406,77.59313567921514,
19,Pakistan,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,74.39250546305088,143.8344159410735,144.8945791805753,175.9856856136,259.7597299014858,307.7320612961689,283.9920734638539,417.5577273440122,
20,Senegal,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,233.998206887516,258.3353618648453,308.0097927503774,437.2736413822731,608.7327917454777,1649.356235838969,1623.666489820391,1375.823338818593,
21,Côte d'Ivoire,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,355.7750568576611,496.3593723826009,554.2688651914549,813.8811529533372,953.5514709032684,1301.431259226745,1270.146882708448,,
22,Cameroon,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,106.535454647488,247.942466583429,346.194718699233,452.383966366375,550.662012024997,,,,
23,Greece,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,,,,,,,,,
24,Benin,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,152.0676700530828,295.8910148336077,391.5698218948751,614.1738514919286,725.2932488866007,852.2657611599076,1104.367714832715,1411.474434054646,
25,Rwanda,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,472.4319534652934,518.7293293377211,621.5565263484594,607.9755857229194,587.755992432591,622.9846042239195,712.0186359728633,789.3804535212697,
26,Bangladesh,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,140.287732284847,183.0951923169698,319.0242787281071,289.9740518360137,264.4364062826145,419.3405161477402,454.2211677939598,649.7789550712486,
27,Togo,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,159.8346314444805,226.0918456494849,282.1977090912762,388.6910892341214,485.4289364544926,504.9533223035795,582.3071820675314,627.9258300202673,
28,Philippines,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,98.6377308082006,29.48157387355282,67.91193493058086,120.8928956295754,269.0804506774066,456.0641672614597,578.3501898175057,853.8568476983031,
29,"Congo, Democratic Republic of the",Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,46.0702527414231,74.3622896907335,129.616940107056,137.831334319542,182.899311344004,,,,
30,"Lesotho, Kingdom of",Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,249.5271850650748,290.7149480135464,466.6419010530255,559.2601064543788,595.0522704017797,752.8682882055989,841.0623129065802,907.0793102486588,
31,Qatar,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,51.06219782957421,51.0133168770108,67.6873384144189,69.60537587678725,,149.2407460403263,,,
32,Samoa,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,278.5659645276531,275.4917406292408,246.5039145358479,249.7847077741451,247.3372958468561,248.8183312782573,211.7508085253506,192.0101449480709,
33,Guinea,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,97.6386171406367,131.3249944938488,196.3276004486171,247.966956985856,359.5916985543161,337.4200454882825,413.4204680411033,477.1267597935188,
34,"Comoros, Union of the",Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,,,,,140.2881686353016,145.0485367988581,171.5621420002854,272.7519577912833,
35,"Congo, Republic of",Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,32.10666989916859,96.4487470230112,292.5897731088254,607.5859393196521,1288.954072919523,241.7683126532293,4.395763632876596,,
36,Niger,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,26.91776936500011,29.1993951347465,26.15831861189885,13.93957804823331,22.00431645329248,38.16881215478391,31.74071924486368,21.19680058309477,
37,"Afghanistan, Islamic Republic of",Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,2.12209888786074,2.24171426002369,2.40663016186267,2.53119105575762,,,,,
38,Malawi,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,133.923046764143,152.729175651057,242.475234380533,356.232874027808,502.52161769816,,602.694997306249,,
39,Georgia,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,,,,,,,,,
40,"Estonia, Republic of",Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,,,,,,,,,
41,Denmark,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,,,,,,,,,
42,"Palau, Republic of",Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,,,,,,,,,
43,Iceland,Number of active mobile money accounts,"Per 1,000 adults",Annual,Units,,,,,,,,,
