country,code,year,"Fertility rate, total (births per woman)","GDP per capita, PPP (constant 2021 international $)","Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)",Population density (people per sq. km of land area),Population growth (annual %),"Population, total",Poverty headcount ratio at national poverty lines (% of population),Rural population (% of total population),Urban population (% of total population)
Bangladesh,BGD,1960,6.742,,43.98,178.6,,,51828660.0,,94.865,5.135
Bangladesh,BGD,1961,6.78,,44.887,173.3,409.544042406084,2.8187180554552,53310348.0,,94.722,5.278
Bangladesh,BGD,1962,6.806,,45.765,168.4,421.611323653684,2.90394064545035,54881146.0,,94.502,5.498
Bangladesh,BGD,1963,6.798,,45.722,163.7,434.08160098333,2.91486814980727,56504402.0,,94.273,5.727
Bangladesh,BGD,1964,6.785,,46.752,159.4,446.941491895214,2.91951583062664,58178374.0,,94.036,5.964
Bangladesh,BGD,1965,6.771,,46.046,155.9,460.186824921257,2.92048527314111,59902519.0,,93.789,6.211
Bangladesh,BGD,1966,6.766,,47.644,153.1,473.763586079742,2.90758855629955,61669806.0,,93.533,6.467
Bangladesh,BGD,1967,6.79,,48.066,151.0,487.907574709995,2.94175581030493,63510929.0,,93.267,6.733
Bangladesh,BGD,1968,6.791,,48.4,149.7,502.483490819697,2.94367934740019,65408276.0,,92.991,7.009
Bangladesh,BGD,1969,6.806,,48.686,148.9,516.971137742952,2.84242612307535,67294133.0,,92.704,7.296
Bangladesh,BGD,1970,6.839,,42.667,165.3,530.528493508489,2.5886620743881,69058894.0,,92.407,7.593
Bangladesh,BGD,1971,6.831,,26.522,205.7,539.884443420143,1.74814557140031,70276758.0,,92.099,7.901
Bangladesh,BGD,1972,6.816,,49.647,148.4,550.368894522547,1.92336477179015,71641519.0,,91.779,8.221
Bangladesh,BGD,1973,6.8,,49.914,148.0,566.353952523623,2.86304698541463,73722294.0,,91.447,8.553
Bangladesh,BGD,1974,6.778,,49.589,147.2,582.617715295383,2.83120108031118,75839348.0,,90.966,9.034
Bangladesh,BGD,1975,6.728,,50.627,145.9,598.0974955827,2.62225253859974,77854351.0,,90.164,9.836
Bangladesh,BGD,1976,6.66,,50.951,144.2,613.469447645387,2.53766860687182,79855318.0,,89.299,10.701
Bangladesh,BGD,1977,6.583,,51.265,141.8,628.925743258815,2.48827316770837,81867264.0,,88.37,11.63
Bangladesh,BGD,1978,6.509,,51.596,139.0,644.46228009526,2.44031003262387,83889655.0,,87.371,12.629
Bangladesh,BGD,1979,6.421,,51.959,135.8,660.175708688638,2.40897300494193,85935072.0,,86.299,13.701
Bangladesh,BGD,1980,6.326,,52.278,132.7,676.165260812783,2.39314899487113,88016432.0,,85.149,14.851
Bangladesh,BGD,1981,6.237,,52.638,129.4,693.732081124683,2.56483208942694,90303105.0,,84.199,15.801
Bangladesh,BGD,1982,6.118,,53.012,126.1,713.025328416686,2.74311077918066,92814507.0,,83.788,16.212
Bangladesh,BGD,1983,5.906,,53.441,122.6,732.389605899977,2.67956773551459,95335155.0,,83.369,16.631
Bangladesh,BGD,1984,5.732,,53.826,119.1,751.440162863947,2.5678961557477,97814966.0,,82.94,17.06
Bangladesh,BGD,1985,5.539,,53.937,115.4,770.176115848506,2.4627628154011,100253825.0,,82.504,17.496
Bangladesh,BGD,1986,5.302,,54.592,111.6,788.473319505262,2.34793582288977,102635572.0,,82.059,17.941
Bangladesh,BGD,1987,5.075,,54.899,107.7,806.324736882538,2.23879919175218,104959291.0,,81.605,18.395
Bangladesh,BGD,1988,4.849,,55.174,103.8,823.661427364216,2.12729956278453,107216008.0,,81.141,18.859
Bangladesh,BGD,1989,4.695,,55.514,99.9,840.699078128601,2.04742252381831,109433799.0,,80.67,19.33
Bangladesh,BGD,1990,4.506,2069.78230100672,55.822,96.2,857.599423830376,1.9903336888239,111633717.0,,80.189,19.811
Bangladesh,BGD,1991,4.261,2101.38366035658,53.781,92.5,874.142344626258,1.91061096227259,113787109.0,,79.743,20.257
Bangladesh,BGD,1992,4.027,2174.38232866943,56.592,88.9,890.775078743182,1.8848730627462,115952192.0,,79.39,20.61
Bangladesh,BGD,1993,3.832,2234.8101219225,57.073,85.2,907.523699777214,1.86277225280699,118132360.0,,79.034,20.966
Bangladesh,BGD,1994,3.737,2279.09435302944,57.64,81.5,924.507789813321,1.85417955110796,120343179.0,,78.672,21.328
Bangladesh,BGD,1995,3.588,2351.70387946903,58.244,77.8,941.848121687025,1.85825551797916,122600370.0,,78.307,21.693
Bangladesh,BGD,1996,3.505,2413.54298201505,58.94,74.2,959.223930245064,1.82805195849607,124862179.0,,77.936,22.064
Bangladesh,BGD,1997,3.502,2475.59574602489,59.671,70.5,977.168848428978,1.85349089461291,127198069.0,,77.562,22.438
Bangladesh,BGD,1998,3.427,2555.06119218282,60.429,66.9,995.792671122378,1.88796139153147,129622332.0,,77.182,22.818
Bangladesh,BGD,1999,3.357,2624.06553797638,61.244,63.3,1014.88872243989,1.89951780093278,132108065.0,,76.798,23.202
Bangladesh,BGD,2000,3.279,2712.93512215725,62.049,59.8,1033.6045478989,1.82732806740512,134544304.0,,76.41,23.59
Bangladesh,BGD,2001,3.203,2803.55471950946,62.836,56.6,1050.97802873166,1.66689324749509,136805810.0,,75.904,24.096
Bangladesh,BGD,2002,3.126,2866.43454328715,63.591,53.6,1067.32471383575,1.54340635736975,138933658.0,,75.244,24.756
Bangladesh,BGD,2003,3.029,2958.91503115633,64.288,50.9,1082.97112237843,1.45530530506763,140970351.0,,74.571,25.429
Bangladesh,BGD,2004,2.94,3071.83778764611,64.912,48.4,1097.8171314435,1.36154790691024,142902856.0,,73.886,26.114
Bangladesh,BGD,2005,2.846,3231.61370692891,65.509,46.0,1111.74453407083,1.2606651625389,144715786.0,,73.191,26.809
Bangladesh,BGD,2006,2.755,3407.4273502159,66.048,43.9,1124.7289928555,1.16116775095831,146405973.0,,72.483,27.517
Bangladesh,BGD,2007,2.666,3608.91543819399,66.458,41.9,1136.89235614965,1.07564253185597,147989278.0,,71.763,28.237
Bangladesh,BGD,2008,2.577,3787.9382761855,67.047,40.1,1148.30040715987,0.9984405660693,149474264.0,,71.032,28.968
Bangladesh,BGD,2009,2.484,3942.13631207203,67.527,38.4,1159.05134823692,0.931892491457971,150873714.0,,70.291,29.709
Bangladesh,BGD,2010,2.38,4125.46390163202,68.009,36.9,1169.25544288238,0.876530534249878,152201981.0,,69.538,30.462
