country,date,indicator,countryiso3code,value,unit,obs_status,decimal,Region
Brunei Darussalam,2024,"Population, total",BRN,,,,0,ASEAN
Brunei Darussalam,2023,"Population, total",BRN,458949.0,,,0,ASEAN
Brunei Darussalam,2022,"Population, total",BRN,455370.0,,,0,ASEAN
Brunei Darussalam,2021,"Population, total",BRN,451721.0,,,0,ASEAN
Brunei Darussalam,2020,"Population, total",BRN,447404.0,,,0,ASEAN
Brunei Darussalam,2019,"Population, total",BRN,442680.0,,,0,ASEAN
Brunei Darussalam,2018,"Population, total",BRN,437810.0,,,0,ASEAN
Brunei Darussalam,2017,"Population, total",BRN,432772.0,,,0,ASEAN
Brunei Darussalam,2016,"Population, total",BRN,427564.0,,,0,ASEAN
Brunei Darussalam,2015,"Population, total",BRN,422212.0,,,0,ASEAN
Brunei Darussalam,2014,"Population, total",BRN,416750.0,,,0,ASEAN
Brunei Darussalam,2013,"Population, total",BRN,411202.0,,,0,ASEAN
Brunei Darussalam,2012,"Population, total",BRN,405557.0,,,0,ASEAN
Brunei Darussalam,2011,"Population, total",BRN,399389.0,,,0,ASEAN
Brunei Darussalam,2010,"Population, total",BRN,392332.0,,,0,ASEAN
Brunei Darussalam,2009,"Population, total",BRN,384952.0,,,0,ASEAN
Brunei Darussalam,2008,"Population, total",BRN,377793.0,,,0,ASEAN
Brunei Darussalam,2007,"Population, total",BRN,370873.0,,,0,ASEAN
Brunei Darussalam,2006,"Population, total",BRN,364663.0,,,0,ASEAN
Brunei Darussalam,2005,"Population, total",BRN,358916.0,,,0,ASEAN
Brunei Darussalam,2004,"Population, total",BRN,352911.0,,,0,ASEAN
Brunei Darussalam,2003,"Population, total",BRN,346637.0,,,0,ASEAN
Brunei Darussalam,2002,"Population, total",BRN,340099.0,,,0,ASEAN
Brunei Darussalam,2001,"Population, total",BRN,333345.0,,,0,ASEAN
Brunei Darussalam,2000,"Population, total",BRN,326424.0,,,0,ASEAN
Brunei Darussalam,1999,"Population, total",BRN,319411.0,,,0,ASEAN
Brunei Darussalam,1998,"Population, total",BRN,312385.0,,,0,ASEAN
Brunei Darussalam,1997,"Population, total",BRN,305341.0,,,0,ASEAN
Brunei Darussalam,1996,"Population, total",BRN,298276.0,,,0,ASEAN
Brunei Darussalam,1995,"Population, total",BRN,291195.0,,,0,ASEAN
Brunei Darussalam,1994,"Population, total",BRN,284091.0,,,0,ASEAN
Brunei Darussalam,1993,"Population, total",BRN,276971.0,,,0,ASEAN
