country,year,"Fertility rate, total (births per woman)","GDP per capita, PPP (constant 2021 international $)","Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)",Population density (people per sq. km of land area),Population growth (annual %),"Population, total",Poverty headcount ratio at national poverty lines (% of population),Rural population (% of total population),Urban population (% of total population),"Agriculture, forestry, and fishing, value added (percent of GDP)",Crop production index (2014-2016 = 100),mobile_money_transactions_x,Food supply quantity (kg/capita/yr)_Cereals - Excluding Beer,Food supply quantity (kg/capita/yr)_Starchy Roots,foodSupply_stability,Rural Access to Electricity(Percent of Population),Mobile Cellular Subscriptions (per 100 people),Fixed Broadband Subsciptions (per 100 people),mobile_money_transactions_y
BGD,2011,2.309,4352.42643359325,68.499,35.4,1179.92683413997,0.908525895582217,153591076.0,,68.775,31.225,16.8099867573503,93.78,,278.27,47.4,46.21992157068201,45.7,56.1667898,0.305031,
BGD,2012,2.263,4592.04840919812,68.989,34.1,1191.28909118845,0.958355912717609,155070101.0,,68.007,31.993,16.1775631732753,94.27,,278.22,48.06,45.75655876483715,53.8,63.89610407,0.387219,
BGD,2013,2.247,4822.72621378266,69.487,32.7,1202.52086502266,0.938408350120779,156532141.0,,67.238,32.762,15.4932779975908,96.58,,273.69,48.7,36.231713594584434,48.6,75.66900657,0.974448,
BGD,2014,2.228,5068.63965672741,70.016,31.4,1213.52791733886,0.911167733810249,157964929.0,,66.465,33.535,15.3516208986344,98.76,,272.78,49.29,2.6190360822245444,48.1,81.34459807,1.95814,
BGD,2015,2.227,5352.71133299566,70.543,30.0,1224.42328493508,0.89381937776758,159383179.0,,65.692,34.308,14.7829964369364,100.69,,278.61,50.07,2.833060182910713,63.8,83.23875309,3.06992,
BGD,2016,2.227,5682.53553494306,71.075,28.6,1235.3993393255,0.892432416039535,160811932.0,,64.917,35.083,13.4647923176039,100.55,2343400.004,267.7,50.9,4.475907729164481,66.1,85.10324101,4.09944,2343400.004
BGD,2016,2.227,5682.53553494306,71.075,28.6,1235.3993393255,0.892432416039535,160811932.0,,64.917,35.083,13.4647923176039,100.55,2343400.004,267.7,50.9,4.475907729164481,66.1,85.10324101,4.09944,11.2890268
BGD,2016,2.227,5682.53553494306,71.075,28.6,1235.3993393255,0.892432416039535,160811932.0,,64.917,35.083,13.4647923176039,100.55,11.2890268,267.7,50.9,4.475907729164481,66.1,85.10324101,4.09944,2343400.004
BGD,2016,2.227,5682.53553494306,71.075,28.6,1235.3993393255,0.892432416039535,160811932.0,,64.917,35.083,13.4647923176039,100.55,11.2890268,267.7,50.9,4.475907729164481,66.1,85.10324101,4.09944,11.2890268
BGD,2017,2.205,6005.70718781048,71.606,27.4,1245.95641852962,0.850917315689336,162186147.0,,64.142,35.858,12.9572760433733,108.47,3146580.359,274.36,51.55,3.905773930989141,81.6,93.29458051,4.50131,3146580.359
BGD,2017,2.205,6005.70718781048,71.606,27.4,1245.95641852962,0.850917315689336,162186147.0,,64.142,35.858,12.9572760433733,108.47,3146580.359,274.36,51.55,3.905773930989141,81.6,93.29458051,4.50131,13.53771291
BGD,2017,2.205,6005.70718781048,71.606,27.4,1245.95641852962,0.850917315689336,162186147.0,,64.142,35.858,12.9572760433733,108.47,13.53771291,274.36,51.55,3.905773930989141,81.6,93.29458051,4.50131,3146580.359
BGD,2017,2.205,6005.70718781048,71.606,27.4,1245.95641852962,0.850917315689336,162186147.0,,64.142,35.858,12.9572760433733,108.47,13.53771291,274.36,51.55,3.905773930989141,81.6,93.29458051,4.50131,13.53771291
BGD,2018,2.193,6392.59334024091,72.122,26.3,1256.22726434662,0.820955197842845,163523103.0,,63.368,36.632,12.4800771856196,108.0,3789756.422,283.25,52.36,5.897978467237242,81.3,98.83168698,4.92462,3789756.422
BGD,2018,2.193,6392.59334024091,72.122,26.3,1256.22726434662,0.820955197842845,163523103.0,,63.368,36.632,12.4800771856196,108.0,3789756.422,283.25,52.36,5.897978467237242,81.3,98.83168698,4.92462,14.35922762
BGD,2018,2.193,6392.59334024091,72.122,26.3,1256.22726434662,0.820955197842845,163523103.0,,63.368,36.632,12.4800771856196,108.0,14.35922762,283.25,52.36,5.897978467237242,81.3,98.83168698,4.92462,3789756.422
BGD,2018,2.193,6392.59334024091,72.122,26.3,1256.22726434662,0.820955197842845,163523103.0,,63.368,36.632,12.4800771856196,108.0,14.35922762,283.25,52.36,5.897978467237242,81.3,98.83168698,4.92462,14.35922762
BGD,2019,2.18,6838.32611608243,72.625,25.4,1266.90523930245,0.84641125179804,164913055.0,,62.595,37.405,11.9753231358984,109.89,4343184.004,273.79,51.24,5.804943582843342,88.9,100.0336994,4.90289,4343184.004
BGD,2019,2.18,6838.32611608243,72.625,25.4,1266.90523930245,0.84641125179804,164913055.0,,62.595,37.405,11.9753231358984,109.89,4343184.004,273.79,51.24,5.804943582843342,88.9,100.0336994,4.90289,14.71553183
BGD,2019,2.18,6838.32611608243,72.625,25.4,1266.90523930245,0.84641125179804,164913055.0,,62.595,37.405,11.9753231358984,109.89,14.71553183,273.79,51.24,5.804943582843342,88.9,100.0336994,4.90289,4343184.004
BGD,2019,2.18,6838.32611608243,72.625,25.4,1266.90523930245,0.84641125179804,164913055.0,,62.595,37.405,11.9753231358984,109.89,14.71553183,273.79,51.24,5.804943582843342,88.9,100.0336994,4.90289,14.71553183
