country,date,indicator,countryiso3code,value,unit,obs_status,decimal,Region
Bangladesh,2022,Account (% age 15+),BGD,..,,,0,South Asia
Bangladesh,2021,Account (% age 15+),BGD,52.81,,,0,South Asia
Bangladesh,2017,Account (% age 15+),BGD,50.05,,,0,South Asia
Bangladesh,2014,Account (% age 15+),BGD,30.99,,,0,South Asia
Bangladesh,2011,Account (% age 15+),BGD,31.74,,,0,South Asia
Bangladesh,2024,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),BGD,..,,,0,South Asia
Bangladesh,2023,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),BGD,..,,,0,South Asia
Bangladesh,2022,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),BGD,..,,,0,South Asia
Bangladesh,2021,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),BGD,52.81,,,0,South Asia
Bangladesh,2020,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),BGD,..,,,0,South Asia
Bangladesh,2019,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),BGD,..,,,0,South Asia
Bangladesh,2018,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),BGD,..,,,0,South Asia
Bangladesh,2017,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),BGD,50.05,,,0,South Asia
Bangladesh,2016,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),BGD,..,,,0,South Asia
Bangladesh,2015,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),BGD,..,,,0,South Asia
Bangladesh,2014,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),BGD,30.99,,,0,South Asia
Bangladesh,2013,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),BGD,..,,,0,South Asia
Bangladesh,2012,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),BGD,..,,,0,South Asia
Bangladesh,2011,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),BGD,31.74,,,0,South Asia
Bangladesh,2024,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2023,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2022,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",BGD,..,,,0,South Asia
