country,year,code,value_world,value_bw
Australia,2001,AUS,7.67391729,50.0
Australia,2001,AUS,7.67391729,16.3
Australia,2001,AUS,7.67391729,33.7
Australia,2001,AUS,,50.0
Australia,2001,AUS,,16.3
Australia,2001,AUS,,33.7
Australia,2001,AUS,84.1,50.0
Australia,2001,AUS,84.1,16.3
Australia,2001,AUS,84.1,33.7
Australia,2001,AUS,46191.3142366289,50.0
Australia,2001,AUS,46191.3142366289,16.3
Australia,2001,AUS,46191.3142366289,33.7
Australia,2004,AUS,8.08257675,53.5
Australia,2004,AUS,8.08257675,18.0
Australia,2004,AUS,8.08257675,35.5
Australia,2004,AUS,,53.5
Australia,2004,AUS,,18.0
Australia,2004,AUS,,35.5
Australia,2004,AUS,84.463,53.5
Australia,2004,AUS,84.463,18.0
Australia,2004,AUS,84.463,35.5
Australia,2004,AUS,49902.0187022536,53.5
Australia,2004,AUS,49902.0187022536,18.0
Australia,2004,AUS,49902.0187022536,35.5
Australia,2007,AUS,8.0517149,36.7
Australia,2007,AUS,8.0517149,56.0
Australia,2007,AUS,8.0517149,21.3
Australia,2007,AUS,8.0517149,34.6
Australia,2007,AUS,8.0517149,61.2
Australia,2007,AUS,8.0517149,24.6
Australia,2007,AUS,,36.7
Australia,2007,AUS,,56.0
Australia,2007,AUS,,21.3
Australia,2007,AUS,,34.6
Australia,2007,AUS,,61.2
Australia,2007,AUS,,24.6
Australia,2007,AUS,84.822,36.7
Australia,2007,AUS,84.822,56.0
Australia,2007,AUS,84.822,21.3
Australia,2007,AUS,84.822,34.6
Australia,2007,AUS,84.822,61.2
Australia,2007,AUS,84.822,24.6
Australia,2007,AUS,52531.7611201084,36.7
Australia,2007,AUS,52531.7611201084,56.0
Australia,2007,AUS,52531.7611201084,21.3
Australia,2007,AUS,52531.7611201084,34.6
Australia,2007,AUS,52531.7611201084,61.2
Australia,2007,AUS,52531.7611201084,24.6
Australia,2011,AUS,8.53360462,35.0
Australia,2011,AUS,8.53360462,63.4
Australia,2011,AUS,8.53360462,28.3
Australia,2011,AUS,6.6,35.0
Australia,2011,AUS,6.6,63.4
Australia,2011,AUS,6.6,28.3
Australia,2011,AUS,85.3,35.0
Australia,2011,AUS,85.3,63.4
Australia,2011,AUS,85.3,28.3
Australia,2011,AUS,54111.357240336,35.0
Australia,2011,AUS,54111.357240336,63.4
Australia,2011,AUS,54111.357240336,28.3
Australia,2014,AUS,9.82490253,35.5
Australia,2014,AUS,9.82490253,63.4
Australia,2014,AUS,9.82490253,27.9
Australia,2014,AUS,,35.5
Australia,2014,AUS,,63.4
Australia,2014,AUS,,27.9
Australia,2014,AUS,85.602,35.5
Australia,2014,AUS,85.602,63.4
Australia,2014,AUS,85.602,27.9
Australia,2014,AUS,56327.8533063277,35.5
Australia,2014,AUS,56327.8533063277,63.4
Australia,2014,AUS,56327.8533063277,27.9
Australia,2017,AUS,10.11242294,34.8
Australia,2017,AUS,10.11242294,47.6
Australia,2017,AUS,10.11242294,19.5
Australia,2017,AUS,10.11242294,28.1
Australia,2017,AUS,10.11242294,65.2
Australia,2017,AUS,10.11242294,30.4
Australia,2017,AUS,,34.8
Australia,2017,AUS,,47.6
Australia,2017,AUS,,19.5
Australia,2017,AUS,,28.1
Australia,2017,AUS,,65.2
Australia,2017,AUS,,30.4
Australia,2017,AUS,85.904,34.8
Australia,2017,AUS,85.904,47.6
Australia,2017,AUS,85.904,19.5
Australia,2017,AUS,85.904,28.1
Australia,2017,AUS,85.904,65.2
Australia,2017,AUS,85.904,30.4
Australia,2017,AUS,57750.6482221688,34.8
Australia,2017,AUS,57750.6482221688,47.6
Australia,2017,AUS,57750.6482221688,19.5
Australia,2017,AUS,57750.6482221688,28.1
Australia,2017,AUS,57750.6482221688,65.2
Australia,2017,AUS,57750.6482221688,30.4
Australia,2022,AUS,9.92687893,33.3
Australia,2022,AUS,9.92687893,58.6
Australia,2022,AUS,9.92687893,25.4
Australia,2022,AUS,9.92687893,33.1
Australia,2022,AUS,9.92687893,64.0
Australia,2022,AUS,9.92687893,30.7
Australia,2022,AUS,,33.3
Australia,2022,AUS,,58.6
Australia,2022,AUS,,25.4
Australia,2022,AUS,,33.1
Australia,2022,AUS,,64.0
Australia,2022,AUS,,30.7
Australia,2022,AUS,86.488,33.3
Australia,2022,AUS,86.488,58.6
Australia,2022,AUS,86.488,25.4
Australia,2022,AUS,86.488,33.1
Australia,2022,AUS,86.488,64.0
Australia,2022,AUS,86.488,30.7
Australia,2022,AUS,61009.8077147403,33.3
Australia,2022,AUS,61009.8077147403,58.6
Australia,2022,AUS,61009.8077147403,25.4
Australia,2022,AUS,61009.8077147403,33.1
Australia,2022,AUS,61009.8077147403,64.0
Australia,2022,AUS,61009.8077147403,30.7
Austria,2006,AUT,9.5311327,12.4
Austria,2006,AUT,9.5311327,47.7
Austria,2006,AUT,9.5311327,35.3
Austria,2006,AUT,,12.4
Austria,2006,AUT,,47.7
Austria,2006,AUT,,35.3
Austria,2006,AUT,58.532,12.4
Austria,2006,AUT,58.532,47.7
Austria,2006,AUT,58.532,35.3
Austria,2006,AUT,42120.1557756904,12.4
Austria,2006,AUT,42120.1557756904,47.7
Austria,2006,AUT,42120.1557756904,35.3
Austria,2014,AUT,10.36809158,14.3
Austria,2014,AUT,10.36809158,46.7
Austria,2014,AUT,10.36809158,32.4
Austria,2014,AUT,,14.3
Austria,2014,AUT,,46.7
Austria,2014,AUT,,32.4
Austria,2014,AUT,57.526,14.3
Austria,2014,AUT,57.526,46.7
Austria,2014,AUT,57.526,32.4
Austria,2014,AUT,43838.8346845363,14.3
Austria,2014,AUT,43838.8346845363,46.7
Austria,2014,AUT,43838.8346845363,32.4
Austria,2017,AUT,10.38402557,15.0
Austria,2017,AUT,10.38402557,35.0
Austria,2017,AUT,,15.0
Austria,2017,AUT,,35.0
Austria,2017,AUT,58.094,15.0
Austria,2017,AUT,58.094,35.0
Austria,2017,AUT,45056.6386908289,15.0
Austria,2017,AUT,45056.6386908289,35.0
Austria,2019,AUT,10.48753643,16.6
Austria,2019,AUT,10.48753643,51.1
Austria,2019,AUT,10.48753643,34.5
Austria,2019,AUT,,16.6
Austria,2019,AUT,,51.1
Austria,2019,AUT,,34.5
Austria,2019,AUT,58.515,16.6
Austria,2019,AUT,58.515,51.1
Austria,2019,AUT,58.515,34.5
Austria,2019,AUT,46550.5623430785,16.6
Austria,2019,AUT,46550.5623430785,51.1
Austria,2019,AUT,46550.5623430785,34.5
Belgium,2001,BEL,8.14988899,12.1
Belgium,2001,BEL,8.14988899,32.4
Belgium,2001,BEL,8.14988899,44.5
Belgium,2001,BEL,,12.1
Belgium,2001,BEL,,32.4
Belgium,2001,BEL,,44.5
Belgium,2001,BEL,97.186,12.1
Belgium,2001,BEL,97.186,32.4
Belgium,2001,BEL,97.186,44.5
Belgium,2001,BEL,36148.2881160202,12.1
Belgium,2001,BEL,36148.2881160202,32.4
Belgium,2001,BEL,36148.2881160202,44.5
Belgium,2004,BEL,9.32808685,12.7
Belgium,2004,BEL,9.32808685,31.4
Belgium,2004,BEL,9.32808685,44.1
Belgium,2004,BEL,,12.7
Belgium,2004,BEL,,31.4
Belgium,2004,BEL,,44.1
Belgium,2004,BEL,97.35,12.7
Belgium,2004,BEL,97.35,31.4
Belgium,2004,BEL,97.35,44.1
Belgium,2004,BEL,37976.697319251,12.7
Belgium,2004,BEL,37976.697319251,31.4
Belgium,2004,BEL,37976.697319251,44.1
Belgium,2008,BEL,9.59315872,14.0
Belgium,2008,BEL,9.59315872,33.5
Belgium,2008,BEL,9.59315872,47.5
Belgium,2008,BEL,,14.0
Belgium,2008,BEL,,33.5
Belgium,2008,BEL,,47.5
Belgium,2008,BEL,97.555,14.0
Belgium,2008,BEL,97.555,33.5
Belgium,2008,BEL,97.555,47.5
Belgium,2008,BEL,40380.9074712395,14.0
Belgium,2008,BEL,40380.9074712395,33.5
Belgium,2008,BEL,40380.9074712395,47.5
Belgium,2013,BEL,10.57460022,13.7
Belgium,2013,BEL,10.57460022,34.4
Belgium,2013,BEL,10.57460022,48.1
Belgium,2013,BEL,,13.7
Belgium,2013,BEL,,34.4
Belgium,2013,BEL,,48.1
Belgium,2013,BEL,97.789,13.7
Belgium,2013,BEL,97.789,34.4
Belgium,2013,BEL,97.789,48.1
Belgium,2013,BEL,40007.8997697861,13.7
Belgium,2013,BEL,40007.8997697861,34.4
Belgium,2013,BEL,40007.8997697861,48.1
Belgium,2014,BEL,10.6084671,18.6
Belgium,2014,BEL,10.6084671,51.0
Belgium,2014,BEL,10.6084671,32.4
Belgium,2014,BEL,,18.6
Belgium,2014,BEL,,51.0
Belgium,2014,BEL,,32.4
Belgium,2014,BEL,97.833,18.6
Belgium,2014,BEL,97.833,51.0
Belgium,2014,BEL,97.833,32.4
Belgium,2014,BEL,40533.9134833922,18.6
