"","code","year","mobile_money_transactions"
"1","ZWE","2016",28.30352382
"2","ZWE","2017",81.76162552
"3","ZWE","2018",63.41012708
"4","ZWE","2019",54.13707044
"5","ZWE","2020",25.05382727
"6","ZWE","2021",20.36137456
"7","ZWE","2022",14.18105264
"8","ZWE","2023",1.49456167
"9","BGR","2016",NA
"10","BGR","2017",NA
"11","BGR","2018",NA
"12","BGR","2019",NA
"13","BGR","2020",NA
"14","BGR","2021",NA
"15","BGR","2022",NA
"16","BGR","2023",NA
"17","CMR","2016",4.341682933
"18","CMR","2017",16.44890609
"19","CMR","2018",29.1378045
"20","CMR","2019",39.8879316
"21","CMR","2020",53.4095997
"22","CMR","2021",NA
"23","CMR","2022",NA
"24","CMR","2023",NA
"25","LVA","2016",NA
"26","LVA","2017",NA
"27","LVA","2018",NA
"28","LVA","2019",NA
"29","LVA","2020",NA
"30","LVA","2021",NA
"31","LVA","2022",NA
"32","LVA","2023",NA
"33","COM","2016",NA
"34","COM","2017",NA
"35","COM","2018",NA
"36","COM","2019",NA
"37","COM","2020",NA
"38","COM","2021",NA
"39","COM","2022",NA
"40","COM","2023",NA
"41","TON","2016",3.645761122
"42","TON","2017",3.635762976
"43","TON","2018",5.12445484
"44","TON","2019",NA
"45","TON","2020",NA
"46","TON","2021",NA
"47","TON","2022",NA
"48","TON","2023",NA
"49","SLB","2016",NA
"50","SLB","2017",NA
"51","SLB","2018",NA
"52","SLB","2019",NA
"53","SLB","2020",NA
"54","SLB","2021",NA
"55","SLB","2022",NA
"56","SLB","2023",NA
"57","AUT","2016",NA
"58","AUT","2017",NA
"59","AUT","2018",NA
"60","AUT","2019",NA
"61","AUT","2020",NA
"62","AUT","2021",NA
"63","AUT","2022",NA
"64","AUT","2023",NA
"65","SMR","2016",NA
"66","SMR","2017",NA
"67","SMR","2018",NA
"68","SMR","2019",NA
"69","SMR","2020",NA
"70","SMR","2021",NA
"71","SMR","2022",NA
"72","SMR","2023",NA
"73","NOR","2016",NA
"74","NOR","2017",NA
"75","NOR","2018",NA
"76","NOR","2019",NA
"77","NOR","2020",NA
"78","NOR","2021",NA
"79","NOR","2022",NA
"80","NOR","2023",NA
"81","IDN","2016",7063688.969
"82","IDN","2017",12375468.72
"83","IDN","2018",47198616.11
"84","IDN","2019",145165467.6
"85","IDN","2020",204909170
"86","IDN","2021",305435828.5
"87","IDN","2022",407534241.5
"88","IDN","2023",457729193.8
"89","SMR","2016",NA
"90","SMR","2017",NA
"91","SMR","2018",NA
"92","SMR","2019",NA
"93","SMR","2020",NA
"94","SMR","2021",NA
"95","SMR","2022",NA
"96","SMR","2023",NA
"97","MLI","2016",26.38260858
"98","MLI","2017",30.4022268
"99","MLI","2018",34.10440888
"100","MLI","2019",37.31950585
"101","MLI","2020",37.58625061
"102","MLI","2021",64.47882884
"103","MLI","2022",102.8111265
"104","MLI","2023",124.6652466
"105","BWA","2016",2.48888205
"106","BWA","2017",3.402406312
"107","BWA","2018",5.679347899
"108","BWA","2019",7.06833191
"109","BWA","2020",10.95363134
"110","BWA","2021",14.21390735
"111","BWA","2022",13.83563025
"112","BWA","2023",15.39326203
"113","TCD","2016",2854
"114","TCD","2017",77975
"115","TCD","2018",NA
"116","TCD","2019",NA
"117","TCD","2020",183
"118","TCD","2021",NA
"119","TCD","2022",2840
"120","TCD","2023",NA
"121","NER","2016",215519
"122","NER","2017",224890
"123","NER","2018",196431
"124","NER","2019",200009
"125","NER","2020",177958
"126","NER","2021",345901
"127","NER","2022",205248
"128","NER","2023",222831
"129","NOR","2016",NA
"130","NOR","2017",NA
"131","NOR","2018",NA
"132","NOR","2019",NA
"133","NOR","2020",NA
"134","NOR","2021",NA
"135","NOR","2022",NA
"136","NOR","2023",NA
"137","BGR","2016",NA
"138","BGR","2017",NA
"139","BGR","2018",NA
"140","BGR","2019",NA
"141","BGR","2020",NA
"142","BGR","2021",NA
"143","BGR","2022",NA
"144","BGR","2023",NA
"145","MOZ","2016",0.993402794
"146","MOZ","2017",17.50328112
"147","MOZ","2018",15.90927652
"148","MOZ","2019",37.94155988
"149","MOZ","2020",54.09400497
"150","MOZ","2021",66.67905301
"151","MOZ","2022",71.70553904
"152","MOZ","2023",89.87832419
"153","MMR","2016",1536799
"154","MMR","2017",2079070.414
"155","MMR","2018",618959
"156","MMR","2019",3760753.939
"157","MMR","2020",NA
"158","MMR","2021",NA
"159","MMR","2022",NA
"160","MMR","2023",NA
"161","BEN","2016",13.12622141
"162","BEN","2017",25.47694928
"163","BEN","2018",30.12466269
"164","BEN","2019",33.43031615
"165","BEN","2020",48.25380734
"166","BEN","2021",62.4200615
"167","BEN","2022",74.4915748
"168","BEN","2023",90.60760851
"169","GNB","2016",0.080234415
"170","GNB","2017",0.366702478
"171","GNB","2018",1.728144498
"172","GNB","2019",5.992355412
"173","GNB","2020",16.73463465
"174","GNB","2021",29.68434173
"175","GNB","2022",20.71999611
"176","GNB","2023",46.89544566
"177","BFA","2016",31.75126819
"178","BFA","2017",48.01869642
"179","BFA","2018",52.93463769
"180","BFA","2019",59.02836785
"181","BFA","2020",72.84302863
"182","BFA","2021",86.26720393
"183","BFA","2022",114.5297542
"184","BFA","2023",134.947391
"185","BGD","2016",2343400.004
"186","BGD","2017",3146580.359
"187","BGD","2018",3789756.422
"188","BGD","2019",4343184.004
"189","BGD","2020",5613958.775
"190","BGD","2021",8850898.558
"191","BGD","2022",10759944.26
"192","BGD","2023",13529071.07
"193","LSO","2016",4211.99
"194","LSO","2017",5941.1
"195","LSO","2018",8075
