,count,mean,std,min,25%,50%,75%,max
year,336.0,2018.1666666666667,3.675926796189673,2011.0,2016.0,2018.0,2021.0,2024.0
"Fertility rate, total (births per woman)",320.0,2.163875,0.6336894629258069,0.97,1.881,2.131,2.3945,4.305
"GDP per capita, PPP (constant 2021 international $)",318.0,21690.926053976527,31524.870064904175,3176.65040602417,5938.744298908343,8668.009516695385,14555.1883979698,132468.930252646
"Life expectancy at birth, total (years)",320.0,71.69787606707317,4.528428040312471,63.859,68.5965,70.415,74.88624999999999,83.5951219512195
"Mortality rate, infant (per 1,000 live births)",320.0,23.8875,15.279591773502665,1.7,9.55,22.6,32.725,71.6
Population density (people per sq. km of land area),290.0,755.1340213661168,1890.0928521542744,18.6105149933101,84.896394686907,169.4603230454495,357.060098094497,7965.87849162011
Population growth (annual %),320.0,1.0335643134043397,0.7474198498998336,-4.17033630017526,0.7580485783009703,1.0744882002252,1.38176596089867,4.85831607781442
"Population, total",320.0,160828129.921875,331357828.47298,399389.0,7532553.75,51894938.0,158319491.5,1438069596.0
Poverty headcount ratio at national poverty lines (% of population),80.0,13.017500000000002,6.904021484484811,4.3,8.275,10.55,18.1,36.3
Rural population (% of total population),320.0,55.32378125,21.52476968566595,0.0,48.43875,62.5775,68.229,82.892
Urban population (% of total population),320.0,44.676218750000004,21.52476968566595,17.108,31.771,37.4225,51.56125,100.0
"Agriculture, forestry, and fishing, value added (percent of GDP)",318.0,13.556007755821197,7.2798775621453045,0.0265267659870693,8.872844989157556,13.2801691376596,17.3725615260314,32.4961825024034
Crop production index (2014-2016 = 100),290.0,102.43162068965516,8.874257771638952,64.61,97.7175,101.775,107.325,131.19
Account (% age 15+),271.0,49.60742312423125,24.98995623724537,3.66,30.924999999999997,42.935,74.07166666666667,98.22
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),271.0,49.60742312423125,24.98995623724537,3.66,30.924999999999997,42.935,74.07166666666667,98.22
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",271.0,46.98379458794588,25.917952007177046,2.95,27.68,39.364,73.26666666666667,98.21
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",271.0,52.230209102091024,24.788066421174502,3.6,31.240000000000002,45.56,76.26,99.68
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",271.0,51.56626076260763,24.662562147645637,3.3,32.894999999999996,44.38,75.65833333333333,98.95
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",271.0,41.89241082410824,27.612418912200752,0.82,20.085,31.776666666666667,66.465,97.68
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",271.0,40.80215252152522,25.923868678874527,2.17,21.694583333333334,29.21,64.26833333333335,94.58
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",271.0,54.70779212792129,23.561900696884347,5.55,38.22666666666667,50.31,77.555,98.96
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",271.0,59.887337023370236,21.586276552280854,15.54,43.01166666666667,57.038,81.3,99.92
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",271.0,44.34990159901599,25.966125849463932,4.52,22.18,38.288,67.5,97.84
"Account, female (% age 15+)",271.0,46.98379458794588,25.917952007177046,2.95,27.68,39.364,73.26666666666667,98.21
"Account, male (% age 15+)",271.0,52.230209102091024,24.788066421174502,3.6,31.240000000000002,45.56,76.26,99.68
"Account, rural (% age 15+)",145.0,46.34455172413793,21.968808190354746,15.56,27.7,45.86,51.59,88.1
"Account, urban (% age 15+)",164.0,63.367256097560976,20.50203968084922,24.51,53.7,61.52,77.83,97.55
Current account balance (% of GDP),290.0,-0.643960301256592,9.808298299790966,-29.6082488651911,-3.783587847260365,-1.05524166809384,2.7710799035855675,34.7106649473496
"Current account balance (BoP, current US$)",290.0,1566197683.6592445,23680795645.261585,-91471245845.7231,-4433269738.48785,-650874000.000002,2578590926.73478,93770599613.1526
Financial institution account (% age 15+),271.0,47.733259532595326,25.755713938906137,3.66,30.013333333333335,37.69,74.04166666666667,98.22
"Financial institution account, female (% age 15+)",271.0,45.4809963099631,26.628799340303708,2.95,27.68,34.94,73.26666666666667,98.21
"Financial institution account, male (% age 15+)",271.0,49.984993849938505,25.360912826979582,3.6,29.295,41.88666666666667,76.11666666666666,99.44
"Financial institution account, rural (% age 15+)",145.0,42.94289655172414,23.115889854685378,11.93,27.26,30.1,50.47,88.1
"Financial institution account, urban (% age 15+)",164.0,60.49865853658537,22.843109968567365,19.13,50.54,60.06,77.62,97.19
"Made a deposit (% with a financial institution account, age 15+)",271.0,56.855861008610084,17.911584773449096,24.91,42.16,53.83,70.92,89.9
Made a digital in-store merchant payment (age 15+),252.0,20.058968253968256,23.400929147942737,0.81,4.84,11.21,21.17,80.88
