Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2014 [YR2014],2017 [YR2017],2021 [YR2021],2022 [YR2022]
World,WLD,Account (% age 15+),account.t.d,50.63,61.92,68.5,76.2,..
World,WLD,"Account, female (% age 15+)",account.t.d.1,46.62,58.4,64.85,73.99,..
World,WLD,"Account, in labor force (% age 15+)",account.t.d.12,55.94,68.62,73.77,77.22,..
World,WLD,"Account, income, poorest 40% (% ages 15+)",account.t.d.7,41.38,54.62,60.89,71.91,..
World,WLD,"Account, income, richest 60% (% ages 15+)",account.t.d.8,57.06,66.86,73.73,79.05,..
World,WLD,"Account, male (% age 15+)",account.t.d.2,54.75,65.49,72.24,78.35,..
World,WLD,"Account, older (% age 25+)",account.t.d.4,54.45,66.12,71.91,79.07,..
World,WLD,"Account, out of labor force (% age 15+)",account.t.d.11,38.46,49.15,59.28,65.37,..
World,WLD,"Account, primary education or less (% ages 15+)",account.t.d.5,36.99,48.4,56.34,66.01,..
World,WLD,"Account, rural (% age 15+)",account.t.d.9,..,..,..,..,..
World,WLD,"Account, secondary education or more (% ages 15+)",account.t.d.6,66.12,73.22,78.6,84.62,..
World,WLD,"Account, urban (% age 15+)",account.t.d.10,..,..,..,..,..
World,WLD,"Account, young (% ages 15-24)",account.t.d.3,37.08,46.9,56.3,65.52,..
World,WLD,Borrowed any money (% age 15+),borrow.any,..,50.49,47.47,52.87,..
World,WLD,Borrowed any money from a formal financial institution or using a mobile money account (% age 15+),fin22a.c.MM.d,..,..,..,29.18,..
World,WLD,"Borrowed any money from a formal financial institution or using a mobile money account, female (% age 15+)",fin22a.c.MM.d.1,..,..,..,27.7,..
World,WLD,"Borrowed any money from a formal financial institution or using a mobile money account, in labor force (% age 15+)",fin22a.c.MM.d.12,..,..,..,31,..
World,WLD,"Borrowed any money from a formal financial institution or using a mobile money account, income, poorest 40% (% ages 15+)",fin22a.c.MM.d.7,..,..,..,23.56,..
World,WLD,"Borrowed any money from a formal financial institution or using a mobile money account, income, richest 60% (% ages 15+)",fin22a.c.MM.d.8,..,..,..,32.92,..
World,WLD,"Borrowed any money from a formal financial institution or using a mobile money account, male (% age 15+)",fin22a.c.MM.d.2,..,..,..,30.63,..
World,WLD,"Borrowed any money from a formal financial institution or using a mobile money account, older (% age 25+)",fin22a.c.MM.d.4,..,..,..,32.43,..
World,WLD,"Borrowed any money from a formal financial institution or using a mobile money account, out of labor force (% age 15+)",fin22a.c.MM.d.11,..,..,..,18.94,..
World,WLD,"Borrowed any money from a formal financial institution or using a mobile money account, primary education or less (% ages 15+)",fin22a.c.MM.d.5,..,..,..,18.33,..
World,WLD,"Borrowed any money from a formal financial institution or using a mobile money account, rural (% age 15+)",fin22a.c.MM.d.9,..,..,..,..,..
World,WLD,"Borrowed any money from a formal financial institution or using a mobile money account, secondary education or more (% ages 15+)",fin22a.c.MM.d.6,..,..,..,37.97,..
World,WLD,"Borrowed any money from a formal financial institution or using a mobile money account, urban (% age 15+)",fin22a.c.MM.d.10,..,..,..,..,..
World,WLD,"Borrowed any money from a formal financial institution or using a mobile money account, young (% ages 15-24)",fin22a.c.MM.d.3,..,..,..,16.98,..
World,WLD,Borrowed any money using a mobile money account (% age 15+),fin13c,..,..,..,2.55,..
World,WLD,"Borrowed any money, female (% age 15+)",borrow.any.1,..,48.26,44.99,51.22,..
World,WLD,"Borrowed any money, in labor force (% age 15+)",borrow.any.12,..,55.91,53.81,57.95,..
World,WLD,"Borrowed any money, income, poorest 40% (% ages 15+)",borrow.any.7,..,47.99,45.37,50.41,..
World,WLD,"Borrowed any money, income, richest 60% (% ages 15+)",borrow.any.8,..,52.13,48.91,54.5,..
World,WLD,"Borrowed any money, male (% age 15+)",borrow.any.2,..,52.73,50.02,54.48,..
World,WLD,"Borrowed any money, older (% age 25+)",borrow.any.4,..,52.21,49.8,55.32,..
World,WLD,"Borrowed any money, out of labor force (% age 15+)",borrow.any.11,..,40.44,36.36,42.67,..
World,WLD,"Borrowed any money, primary education or less (% ages 15+)",borrow.any.5,..,44.61,41.4,47.57,..
World,WLD,"Borrowed any money, rural (% age 15+)",borrow.any.9,..,..,..,..,..
World,WLD,"Borrowed any money, secondary education or more (% ages 15+)",borrow.any.6,..,55.38,52.47,57.15,..
World,WLD,"Borrowed any money, urban (% age 15+)",borrow.any.10,..,..,..,..,..
World,WLD,"Borrowed any money, young (% ages 15-24)",borrow.any.3,..,44.29,39.05,43.84,..
World,WLD,Borrowed for education or school fees (% age 15+),fin22a.2014,..,7.69,..,..,..
World,WLD,"Borrowed for education or school fees, female (% age 15+)",fin22a.2014.1,..,7.69,..,..,..
World,WLD,"Borrowed for education or school fees, in labor force (% age 15+)",fin22a.2014.12,..,8.56,..,..,..
World,WLD,"Borrowed for education or school fees, income, poorest 40% (% ages 15+)",fin22a.2014.7,..,8.56,..,..,..
World,WLD,"Borrowed for education or school fees, income, richest 60% (% ages 15+)",fin22a.2014.8,..,7.09,..,..,..
World,WLD,"Borrowed for education or school fees, male (% age 15+)",fin22a.2014.2,..,7.7,..,..,..
World,WLD,"Borrowed for education or school fees, older (% age 25+)",fin22a.2014.4,..,7.16,..,..,..
World,WLD,"Borrowed for education or school fees, out of labor force (% age 15+)",fin22a.2014.11,..,6.2,..,..,..
World,WLD,"Borrowed for education or school fees, primary education or less (% ages 15+)",fin22a.2014.5,..,7.55,..,..,..
World,WLD,"Borrowed for education or school fees, rural (% age 15+)",fin22a.2014.9,..,..,..,..,..
World,WLD,"Borrowed for education or school fees, secondary education or more (% ages 15+)",fin22a.2014.6,..,7.84,..,..,..
World,WLD,"Borrowed for education or school fees, urban (% age 15+)",fin22a.2014.10,..,..,..,..,..
World,WLD,"Borrowed for education or school fees, young (% ages 15-24)",fin22a.2014.3,..,9.57,..,..,..
World,WLD,Borrowed for health or medical purposes (% age 15+),fin20.t.d,..,12.17,9.58,15.09,..
World,WLD,"Borrowed for health or medical purposes, female (% age 15+)",fin20.t.d.1,..,12.35,9.24,14.75,..
World,WLD,"Borrowed for health or medical purposes, in labor force (% age 15+)",fin20.t.d.12,..,12.94,10.49,17.68,..
World,WLD,"Borrowed for health or medical purposes, income, poorest 40% (% ages 15+)",fin20.t.d.7,..,15.06,11.21,18.58,..
World,WLD,"Borrowed for health or medical purposes, income, richest 60% (% ages 15+)",fin20.t.d.8,..,10.23,8.47,12.77,..
World,WLD,"Borrowed for health or medical purposes, male (% age 15+)",fin20.t.d.2,..,11.99,9.93,15.42,..
World,WLD,"Borrowed for health or medical purposes, older (% age 25+)",fin20.t.d.4,..,12.96,9.96,15.48,..
World,WLD,"Borrowed for health or medical purposes, out of labor force (% age 15+)",fin20.t.d.11,..,10.96,7.97,13.87,..
World,WLD,"Borrowed for health or medical purposes, primary education or less (% ages 15+)",fin20.t.d.5,..,15.96,11.22,19.57,..
World,WLD,"Borrowed for health or medical purposes, rural (% age 15+)",fin20.t.d.9,..,..,..,..,..
World,WLD,"Borrowed for health or medical purposes, secondary education or more (% ages 15+)",fin20.t.d.6,..,8.99,8.25,11.5,..
World,WLD,"Borrowed for health or medical purposes, urban (% age 15+)",fin20.t.d.10,..,..,..,..,..
World,WLD,"Borrowed for health or medical purposes, young (% ages 15-24)",fin20.t.d.3,..,9.48,8.22,14.04,..
World,WLD,Borrowed from a formal financial institution (% age 15+),fin22a.c.t.d,9.29,22.19,22.29,28.38,..
World,WLD,"Borrowed from a formal financial institution, female (% age 15+)",fin22a.c.t.d.1,8.37,20.58,20.56,27.15,..
World,WLD,"Borrowed from a formal financial institution, in labor force (% age 15+)",fin22a.c.t.d.12,10.94,26.09,27,29.73,..
World,WLD,"Borrowed from a formal financial institution, income, poorest 40% (% ages 15+)",fin22a.c.t.d.7,8.8,16.25,16.39,23.02,..
World,WLD,"Borrowed from a formal financial institution, income, richest 60% (% ages 15+)",fin22a.c.t.d.8,9.65,26.16,26.32,31.95,..
World,WLD,"Borrowed from a formal financial institution, male (% age 15+)",fin22a.c.t.d.2,10.24,23.81,24.06,29.59,..
World,WLD,"Borrowed from a formal financial institution, older (% age 25+)",fin22a.c.t.d.4,10.63,25,25.33,31.75,..
World,WLD,"Borrowed from a formal financial institution, out of labor force (% age 15+)",fin22a.c.t.d.11,6.21,14.58,14.03,18.3,..
World,WLD,"Borrowed from a formal financial institution, primary education or less (% ages 15+)",fin22a.c.t.d.5,7.47,10.33,11.31,17.79,..
World,WLD,"Borrowed from a formal financial institution, rural (% age 15+)",fin22a.c.t.d.9,..,..,..,..,..
World,WLD,"Borrowed from a formal financial institution, secondary education or more (% ages 15+)",fin22a.c.t.d.6,11.43,32.04,31.29,36.95,..
World,WLD,"Borrowed from a formal financial institution, urban (% age 15+)",fin22a.c.t.d.10,..,..,..,..,..
World,WLD,"Borrowed from a formal financial institution, young (% ages 15-24)",fin22a.c.t.d.3,4.73,12.01,11.23,15.68,..
World,WLD,Borrowed from a savings club (% age 15+),fin22c.t.d,..,..,..,..,..
World,WLD,"Borrowed from a savings club, female (% age 15+)",fin22c.t.d.1,..,..,..,..,..
World,WLD,"Borrowed from a savings club, in labor force (% age 15+)",fin22c.t.d.12,..,..,..,..,..
World,WLD,"Borrowed from a savings club, income, poorest 40% (% ages 15+)",fin22c.t.d.7,..,..,..,..,..
World,WLD,"Borrowed from a savings club, income, richest 60% (% ages 15+)",fin22c.t.d.8,..,..,..,..,..
World,WLD,"Borrowed from a savings club, male (% age 15+)",fin22c.t.d.2,..,..,..,..,..
World,WLD,"Borrowed from a savings club, older (% age 25+)",fin22c.t.d.4,..,..,..,..,..
