Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.41599365,66.63810844,66.53637229,66.50826556,66.38883769,66.06973355,65.94767722,65.87954778,65.68180857,65.68348121,65.50692591,65.35689317,65.22047696,64.64259858,64.27173483,63.51451873,62.8906496,62.38890657,62.00886041,61.44742277,60.75121176,60.08507385,59.62633063,58.85942216,58.20422669,57.6702809,57.14238894,56.39481268,55.58925536,56.29214717,56.4930278,55.85309948,55.94241779,
Afghanistan,AFG,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.04181812,67.93704781,67.88609957,67.90743071,67.45195844,67.17050188,66.85916535,66.50688916,66.09380634,65.65159653,65.02544921,64.18668854,63.48155705,62.46994834,61.70355206,60.89381163,60.19075178,59.01124281,57.0509516,54.56188007,52.78479287,50.43377584,47.72799874,44.79858731,44.29689857,44.36948955,43.98902775,44.24827117,45.05095891,45.98341101,45.95519936,45.59265413,45.46395238,
Africa Western and Central,AFW,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.49445496,58.24856316,58.03324421,57.74312866,57.46889757,57.08080446,56.60532952,56.06244898,55.52121983,54.85480388,54.23426528,53.77690385,53.02243807,52.14846784,51.533648,50.94276601,50.22372077,49.4050957,48.57142215,47.52833039,46.93398414,45.98652139,45.14172871,44.0406101,43.19683162,43.38486901,43.18588094,42.80295999,42.71698244,42.47830789,41.94778695,40.52156964,40.03092856,
Angola,AGO,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8286476,39.92707944,40.29972216,40.16828798,39.58035503,38.95907992,38.54076997,38.20729322,37.97857892,37.6802848,37.42129737,36.62669992,36.60714032,36.16632154,38.2079742,40.49663625,42.61289731,44.90939706,47.21854521,48.72147374,51.21155295,53.26968323,55.4968692,57.59964653,56.79621147,56.16436066,55.28260065,54.40349116,53.42332767,55.0594012,56.70750991,56.27157914,56.22402086,
Albania,ALB,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.72381916,53.54500284,53.31472638,53.06189986,52.75313476,52.85785684,52.28460261,51.95661239,51.36881546,50.46746368,49.43527304,48.37138865,48.27634529,47.91666285,47.33392583,46.62733072,45.58382288,44.65599018,44.05167309,42.08442593,45.38803989,45.99561637,44.19803551,42.25703163,41.2834965,40.04089464,38.07835174,37.28576221,36.41683918,36.2649173,36.01721054,35.35685846,34.89342258,
Andorra,AND,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.30995202,33.42710539,32.48926419,32.1692681,31.64710379,30.65293787,30.37545196,29.64292496,28.91601772,28.84674204,27.79632907,27.01011951,26.83744181,26.84492975,25.91786962,25.16704177,24.57936963,23.54064795,22.62423402,21.75450793,21.35495251,20.59987999,20.40669064,19.92775771,18.91996285,18.27947167,18.10734207,17.11150736,16.875734,16.70494386,16.3883514,15.78996024,13.61211108,
United Arab Emirates,ARE,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.316697928,9.156431599,8.958762567,8.768150222,8.550543597,8.539125281,8.507657767,8.435888369,8.46176888,8.497905594,7.888158981,7.346213277,6.838197402,6.408793782,5.977832818,5.348603629,4.7599688,4.258603404,3.859288918,3.547007752,3.252852432,2.948540296,2.643561072,2.356248135,2.067956472,1.836198831,1.63825648,1.464068779,2.241193105,1.783296023,1.428168756,1.359528149,1.346468226,
Argentina,ARG,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.306084355,1.282063819,1.254279056,1.227486331,1.212071163,1.185728511,1.154527126,1.12341828,1.105397946,1.082816338,1.065899545,1.061938991,1.021523417,0.969933233,0.919946231,0.873532533,0.832650029,0.800601982,0.781841851,0.74507088,0.725284587,0.707554392,0.688483533,0.677365925,0.62551364,0.608956444,0.631425683,0.624305051,0.609655373,0.605509709,0.570907094,0.64613263,0.612884087,
Armenia,ARM,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.18334777,52.05293431,52.68595056,52.94944302,53.08746241,53.17510498,53.32218362,53.36953728,53.4872464,53.58183912,53.55114565,53.31255,52.97024918,52.72303474,52.46194942,52.32168513,52.28014077,52.26631245,52.23072571,52.22136019,52.2551004,52.30149539,52.22318906,52.13500643,51.97276295,51.77307651,51.68268276,51.5218343,49.6460966,52.3838919,53.1009239,52.50683067,52.29566635,
American Samoa,ASM,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
