"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:FAS(4.0.0)","BWA.FA63N.PTADLT_NUM.A","OBS_VALUE","Botswana","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","565.262368177828","680.4986824454417","728.0950151111242","842.3389974695225","1047.147680782823","1162.565096930575","1684.847572034011","1344.203653768742",""
"IMF.STA:FAS(4.0.0)","GHA.FA63N.PTADLT_NUM.A","OBS_VALUE","Ghana","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","458.7285545631398","597.5153252205329","683.8531252590903","738.4944834390298","853.4432626272578","868.8845876135405","966.3319984214683","966.9810950064704",""
"IMF.STA:FAS(4.0.0)","SMR.FA63N.PTADLT_NUM.A","OBS_VALUE","San Marino, Republic of","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","LVA.FA63N.PTADLT_NUM.A","OBS_VALUE","Latvia, Republic of","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","TCD.FA63N.PTADLT_NUM.A","OBS_VALUE","Chad","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","0.04019478685553529","0.1835972618657732","15.5496705220548","14.3921936800559","18.5533797948801","23.45135262816538","25.81149259429971","",""
"IMF.STA:FAS(4.0.0)","JOR.FA63N.PTADLT_NUM.A","OBS_VALUE","Jordan","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","1.26591149469768","8.392474439847051","","","","","","",""
"IMF.STA:FAS(4.0.0)","MLI.FA63N.PTADLT_NUM.A","OBS_VALUE","Mali","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","226.0765441767482","229.1605361498783","265.1212421205267","285.237356526741","275.416463498752","366.7765355934015","449.6078494804431","443.4399291133543",""
"IMF.STA:FAS(4.0.0)","MMR.FA63N.PTADLT_NUM.A","OBS_VALUE","Myanmar","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","2.33093472550042","16.3023992933571","17.0846435730013","21.3453723991582","","","","",""
"IMF.STA:FAS(4.0.0)","MDG.FA63N.PTADLT_NUM.A","OBS_VALUE","Madagascar, Republic of","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","52.58874747336883","66.71673490670234","27.16783513977805","136.9331952587167","152.2629816893314","175.0726211719128","210.852111320089","",""
"IMF.STA:FAS(4.0.0)","NPL.FA63N.PTADLT_NUM.A","OBS_VALUE","Nepal","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","30.5068086733685","50.90948433081201","93.01921922106006","213.8901701056981","287.1744543459392",""
