"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:FAS(4.0.0)","IDN.FA66N.PTADLT_NUM.A","OBS_VALUE","Indonesia","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","3557.300057029625","4848.176259784804","14829.71548165135","26186.85334467578","22906.44062981932","26721.52365060388","33610.95772700554","37098.54124417791",""
"IMF.STA:FAS(4.0.0)","BEN.FA66N.PTADLT_NUM.A","OBS_VALUE","Benin","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","5993.389386870861","16060.33219881549","29132.39973622755","47187.24926415234","84052.76084512452","125940.3109468119","196093.9277692043","264136.6612382129",""
"IMF.STA:FAS(4.0.0)","QAT.FA66N.PTADLT_NUM.A","OBS_VALUE","Qatar","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","1368.738439448942","195.4928151131308","321.9688310029148","363.6799665008671","","3088.481880716928","","",""
"IMF.STA:FAS(4.0.0)","KEN.FA66N.PTADLT_NUM.A","OBS_VALUE","Kenya","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","54104.8680452211","53078.77351926156","58114.40289748024","59694.86138472809","58732.04756044645","66317.70306056595","67863.19322168689","70091.24793000722",""
"IMF.STA:FAS(4.0.0)","PHL.FA66N.PTADLT_NUM.A","OBS_VALUE","Philippines","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","5153.503232086149","5369.174304058527","5665.537056579172","9898.748804557807","22764.30167794326","58840.52713205773","101127.3386004016","134417.0157772422",""
"IMF.STA:FAS(4.0.0)","GRC.FA66N.PTADLT_NUM.A","OBS_VALUE","Greece","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","NOR.FA66N.PTADLT_NUM.A","OBS_VALUE","Norway","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","BGD.FA66N.PTADLT_NUM.A","OBS_VALUE","Bangladesh","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","13064.56739061455","16288.7390892882","19333.51237991298","21598.73533599975","25945.4462861791","35043.03762014962","39815.92073750836","47836.6817028879",""
"IMF.STA:FAS(4.0.0)","TCD.FA66N.PTADLT_NUM.A","OBS_VALUE","Chad","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","0.7935485642568058","0.6180083563640777","","","38.33497836513581","","","",""
"IMF.STA:FAS(4.0.0)","COM.FA66N.PTADLT_NUM.A","OBS_VALUE","Comoros, Union of the","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","532.017281247669","1016.593592038546","3675.673955556927","6406.321124912081",""
"IMF.STA:FAS(4.0.0)","AUT.FA66N.PTADLT_NUM.A","OBS_VALUE","Austria","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","SLB.FA66N.PTADLT_NUM.A","OBS_VALUE","Solomon Islands","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","GEO.FA66N.PTADLT_NUM.A","OBS_VALUE","Georgia","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","PAK.FA66N.PTADLT_NUM.A","OBS_VALUE","Pakistan","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","3632.316968817218","4836.557457274213","6994.049674445483","9393.081690796604","12764.84935155508","17141.31303159329","20385.03251405681","25645.02755982868",""
"IMF.STA:FAS(4.0.0)","GHA.FA66N.PTADLT_NUM.A","OBS_VALUE","Ghana","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","30361.15860746163","52745.75381621192","76177.22897763496","102657.8514598356","142365.5709930761","194649.5640407987","239972.4462746646","314622.4941492513",""
"IMF.STA:FAS(4.0.0)","GNB.FA66N.PTADLT_NUM.A","OBS_VALUE","Guinea-Bissau","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","288.2067257147245","570.0653585150073","1787.038218919959","5805.946043779135","18888.40752574018","35671.90078123916","24727.09832704836","56170.45206839527",""
"IMF.STA:FAS(4.0.0)","FJI.FA66N.PTADLT_NUM.A","OBS_VALUE","Fiji, Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","1018.07785346129","1846.00563880591","3770.05816023004","3669.97909160347","5702.81122033321","","51153.3670700713","",""
"IMF.STA:FAS(4.0.0)","ZWE.FA66N.PTADLT_NUM.A","OBS_VALUE","Zimbabwe","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","35940.81047507619","88448.12158384695","190673.164485327","215734.950780053","180436.0497774288","128829.0068682962","944180.8216848049","943690.1097152195",""
"IMF.STA:FAS(4.0.0)","TGO.FA66N.PTADLT_NUM.A","OBS_VALUE","Togo","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","4517.554624490393","8246.466476943438","13207.60687205307","19021.68424899715","7331.198176258152","34876.56342502123","45418.367047312","56728.91796558681",""
"IMF.STA:FAS(4.0.0)","NER.FA66N.PTADLT_NUM.A","OBS_VALUE","Niger","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","3798.176113891342","3225.877313778456","2037.153711760873","1245.950922497408","994.6731382608561","1703.213500706698","1501.201093526566","1548.769514359103",""
"IMF.STA:FAS(4.0.0)","MWI.FA66N.PTADLT_NUM.A","OBS_VALUE","Malawi","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","9230.36581843066","13121.6772824235","18255.714107334","26263.6085957397","39781.4943130966","","85570.128397718","",""
"IMF.STA:FAS(4.0.0)","UGA.FA66N.PTADLT_NUM.A","OBS_VALUE","Uganda","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","48332.13040550816","51391.96933208501","85002.385634525","122950.681265548","146195.8767670535","170731.7412621435","","",""
"IMF.STA:FAS(4.0.0)","ZAF.FA66N.PTADLT_NUM.A","OBS_VALUE","South Africa","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","88.3438097063325","","","","11.34258367638013","","","175.4524578335629",""
"IMF.STA:FAS(4.0.0)","SEN.FA66N.PTADLT_NUM.A","OBS_VALUE","Senegal","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","8640.193230994428","17345.36241949632","33404.44868487897","47205.20659772309","60082.25495515922","101569.8673606738","144173.5616494698","204633.4856619735",""
"IMF.STA:FAS(4.0.0)","CMR.FA66N.PTADLT_NUM.A","OBS_VALUE","Cameroon","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","6168.31691017628","21952.6922637371","39733.7760627881","56381.1013210011","69590.3466468309","","","",""
"IMF.STA:FAS(4.0.0)","WSM.FA66N.PTADLT_NUM.A","OBS_VALUE","Samoa","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","1491.447363232731","1505.63883386108","1137.691388021135","1310.455200164613","1902.253835718087","1731.093300452117","1828.045205390649","5634.349717330008",""
"IMF.STA:FAS(4.0.0)","BWA.FA66N.PTADLT_NUM.A","OBS_VALUE","Botswana","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","11834.1776655439","14556.60262202166","20289.43118508331","25210.47961319501","48075.48341754136","51255.55314322505","62985.11907280203","73388.22368167105",""
"IMF.STA:FAS(4.0.0)","CIV.FA66N.PTADLT_NUM.A","OBS_VALUE","Côte d'Ivoire","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","20302.43917052065","26921.23343683361","39022.91968464935","42658.6174549769","44272.00595055358","69683.64750380012","76020.52127515692","",""
"IMF.STA:FAS(4.0.0)","ARM.FA66N.PTADLT_NUM.A","OBS_VALUE","Armenia, Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","SMR.FA66N.PTADLT_NUM.A","OBS_VALUE","San Marino, Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","AFG.FA66N.PTADLT_NUM.A","OBS_VALUE","Afghanistan, Islamic Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","104.423404497994","168.113151313682","438.93164737335","100.043505560245","","","","",""
"IMF.STA:FAS(4.0.0)","BFA.FA66N.PTADLT_NUM.A","OBS_VALUE","Burkina Faso","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","13053.96693616398","32355.20940270198","44227.80539665096","66537.4708363336","86631.25956223287","103412.5855840107","124754.6989384736","221033.6033530957",""
"IMF.STA:FAS(4.0.0)","MOZ.FA66N.PTADLT_NUM.A","OBS_VALUE","Mozambique, Republic of","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","9776.209658855936","15911.46879271524","18328.1335249303","32979.66062614946","40203.14962992749","48764.57356430506","56852.41607486501","88488.88212725367",""
"IMF.STA:FAS(4.0.0)","TON.FA66N.PTADLT_NUM.A","OBS_VALUE","Tonga","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","1450.05340639948","1507.64087141047","2005.16129032258","","","","","",""
"IMF.STA:FAS(4.0.0)","JOR.FA66N.PTADLT_NUM.A","OBS_VALUE","Jordan","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","1.399003561519118","23.48238198995855","229.6613782000731","541.7423608546977","1648.429963923541","3627.888305050748","1445.765902315809","3420.045758669442",""
