"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:FAS(4.0.0)","ZWE.FA65.POGDP.A","OBS_VALUE","Zimbabwe","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","28.30352381645416","81.76162552111127","63.41012707881038","54.13707044068592","25.05382726933137","20.36137455708725","14.18105263906246","1.494561669799075"
"IMF.STA:FAS(4.0.0)","BGR.FA65.POGDP.A","OBS_VALUE","Bulgaria","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","","","","","","","",""
"IMF.STA:FAS(4.0.0)","CMR.FA65.POGDP.A","OBS_VALUE","Cameroon","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","4.34168293280068","16.4489060923774","29.1378045015997","39.8879316004509","53.4095997045533","","",""
"IMF.STA:FAS(4.0.0)","LVA.FA65.XDC.A","OBS_VALUE","Latvia, Republic of","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","COM.FA65.XDC.A","OBS_VALUE","Comoros, Union of the","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","TON.FA65.POGDP.A","OBS_VALUE","Tonga","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","3.64576112179641","3.63576297616089","5.12445483953049","","","","",""
"IMF.STA:FAS(4.0.0)","SLB.FA65.POGDP.A","OBS_VALUE","Solomon Islands","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","","","","","","","",""
"IMF.STA:FAS(4.0.0)","AUT.FA65.POGDP.A","OBS_VALUE","Austria","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","","","","","","","",""
"IMF.STA:FAS(4.0.0)","SMR.FA65.POGDP.A","OBS_VALUE","San Marino, Republic of","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","","","","","","","",""
"IMF.STA:FAS(4.0.0)","NOR.FA65.POGDP.A","OBS_VALUE","Norway","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","","","","","","","",""
"IMF.STA:FAS(4.0.0)","IDN.FA65.XDC.A","OBS_VALUE","Indonesia","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","7063688.968575","1.2375468717372E7","4.71986161051483E7","1.45165467602595E8","2.04909169984853E8","3.05435828472424E8","4.07534241472589E8","4.57729193839782E8"
"IMF.STA:FAS(4.0.0)","SMR.FA65.XDC.A","OBS_VALUE","San Marino, Republic of","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","","","","","","","",""
"IMF.STA:FAS(4.0.0)","MLI.FA65.POGDP.A","OBS_VALUE","Mali","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","26.38260858057379","30.40222680380018","34.10440888299006","37.3195058543415","37.58625061305551","64.47882883870979","102.8111265454637","124.6652465516605"
"IMF.STA:FAS(4.0.0)","BWA.FA65.POGDP.A","OBS_VALUE","Botswana","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","2.488882050297944","3.402406311959368","5.679347899043801","7.06833191048641","10.95363134460113","14.21390734624615","13.83563024663493","15.39326203067883"
"IMF.STA:FAS(4.0.0)","TCD.FA65.XDC.A","OBS_VALUE","Chad","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","2854.0","77975.0","","","183.0","","2840.0",""
"IMF.STA:FAS(4.0.0)","NER.FA65.XDC.A","OBS_VALUE","Niger","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","215519.0","224890.0","196431.0","200009.0","177958.0","345901.0","205248.0","222831.0"
"IMF.STA:FAS(4.0.0)","NOR.FA65.XDC.A","OBS_VALUE","Norway","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","","","","","","","",""
