indicator,country,countryiso3code,date,value,unit,obs_status,decimal
Population density (people per sq. km of land area),Brunei Darussalam,BRN,2024,,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,2023,,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,2022,86.4079696394687,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,2021,85.715559772296,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,2020,84.896394686907,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,2019,84.0,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,2018,83.0759013282732,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,2017,82.1199240986717,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,2016,81.1316888045541,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,2015,80.1161290322581,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,2014,79.0796963946869,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,2013,78.026944971537,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,2012,76.9557874762808,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,2011,75.7853889943074,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,2010,74.4462998102467,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,2009,73.0459203036053,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,2008,71.6874762808349,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,2007,70.3743833017078,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,2006,69.1960151802657,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,2005,68.1055028462998,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,2004,66.9660341555977,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,2003,65.7755218216319,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,2002,64.5349146110057,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,2001,63.253320683112,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,2000,61.9400379506641,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1999,60.6092979127135,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1998,59.2760910815939,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1997,57.9394686907021,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1996,56.5988614800759,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1995,55.2552182163188,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1994,53.907210626186,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1993,52.5561669829222,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1992,51.2028462998102,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1991,49.8284629981025,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1990,48.442504743833,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1989,47.0709677419355,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1988,45.7140417457305,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1987,44.3757115749526,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1986,42.9781783681214,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1985,41.5406072106262,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1984,40.1633776091082,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1983,38.850284629981,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1982,37.6024667931689,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1981,36.4282732447818,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1980,35.3151802656546,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1979,34.2356736242884,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1978,33.1848197343454,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1977,32.1208728652751,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1976,31.0449715370019,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1975,29.9943074003795,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1974,28.9669829222011,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1973,27.9637571157495,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1972,26.980834914611,,,0
Population density (people per sq. km of land area),Brunei Darussalam,BRN,1971,26.1709677419355,,,0
