indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,2024,,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,2023,76828.3998314969,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,2022,76357.8291017772,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,2021,78248.7971101454,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,2020,80280.8979480569,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,2019,80228.159656274,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,2018,78099.0507722008,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,2017,78966.8642961288,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,2016,78880.6229079102,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,2015,81910.1883952688,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,2014,83310.6150641982,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,2013,86606.6517156585,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,2012,89718.4636612666,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,2011,90279.6633402819,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,2010,88586.5131929201,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,2009,87875.8282313568,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,2008,91275.5001404953,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,2007,96752.6202630515,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,2006,102248.510372603,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,2005,99795.6851205821,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,2004,101497.754704576,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,2003,103226.914281632,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,2002,101571.583792615,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,2001,99680.7624772261,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,2000,100323.440021864,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,1999,99083.3206556618,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,1998,97171.6371135151,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,1997,106503.420292059,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,1996,102522.125235775,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,1995,105043.852684028,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,1994,106239.232213533,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,1993,107899.136176771,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,1992,111457.220909813,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,1991,118220.683618951,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,1990,118163.683197804,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,1989,,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,1988,,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,1987,,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,1986,,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,1985,,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,1984,,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,1983,,,,0
"GDP per capita, PPP (constant 2021 international $)",Brunei Darussalam,BRN,1982,,,,0
