indicator,country,countryiso3code,date,value,unit,obs_status,decimal
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,2024,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,2023,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,2022,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,2021,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,2020,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,2019,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,2018,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,2017,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,2016,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,2015,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,2014,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,2013,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,2012,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,2011,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,2010,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,2009,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,2008,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,2007,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,2006,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,2005,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,2004,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,2003,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,2002,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,2001,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,2000,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,1999,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,1998,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,1997,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,1996,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,1995,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,1994,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,1993,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,1992,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,1991,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,1990,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,1989,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,1988,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,1987,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,1986,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,1985,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,1984,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,1983,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,1982,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,1981,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,1980,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,1979,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,1978,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,1977,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,1976,,,,1
Poverty headcount ratio at national poverty lines (% of population),Brunei Darussalam,BRN,1975,,,,1
