indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,2024,,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,2023,8.2,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,2022,8.3,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,2021,8.4,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,2020,8.5,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,2019,8.5,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,2018,8.6,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,2017,8.6,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,2016,8.6,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,2015,8.5,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,2014,8.5,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,2013,8.4,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,2012,8.3,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,2011,8.2,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,2010,8.1,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,2009,8.0,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,2008,8.0,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,2007,7.9,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,2006,7.8,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,2005,7.8,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,2004,7.8,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,2003,7.9,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,2002,8.0,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,2001,8.1,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,2000,8.3,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1999,8.6,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1998,8.8,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1997,9.1,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1996,9.5,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1995,9.7,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1994,10.0,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1993,10.1,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1992,10.2,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1991,10.2,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1990,10.3,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1989,10.3,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1988,10.5,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1987,10.8,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1986,11.2,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1985,11.8,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1984,12.5,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1983,13.3,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1982,14.3,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1981,15.4,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1980,16.7,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1979,18.1,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1978,19.6,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1977,21.3,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1976,23.1,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1975,25.0,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1974,26.9,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1973,28.8,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1972,30.7,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1971,32.5,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1970,34.2,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1969,35.8,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1968,37.4,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1967,39.1,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1966,40.8,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1965,42.9,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1964,45.4,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1963,48.2,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1962,51.5,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1961,55.2,,,0
"Mortality rate, infant (per 1,000 live births)",Brunei Darussalam,BRN,1960,59.4,,,0
"Mortality rate, infant (per 1,000 live births)",Indonesia,IDN,2024,,,,0
"Mortality rate, infant (per 1,000 live births)",Indonesia,IDN,2023,17.0,,,0
"Mortality rate, infant (per 1,000 live births)",Indonesia,IDN,2022,17.5,,,0
"Mortality rate, infant (per 1,000 live births)",Indonesia,IDN,2021,18.0,,,0
"Mortality rate, infant (per 1,000 live births)",Indonesia,IDN,2020,18.6,,,0
"Mortality rate, infant (per 1,000 live births)",Indonesia,IDN,2019,19.3,,,0
