indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,2024,,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,2023,75.327,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,2022,72.917,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,2021,74.869,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,2020,75.114,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,2019,75.049,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,2018,74.992,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,2017,74.943,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,2016,74.905,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,2015,74.88,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,2014,74.862,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,2013,74.854,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,2012,74.843,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,2011,74.835,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,2010,74.82,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,2009,74.814,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,2008,74.814,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,2007,74.793,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,2006,74.753,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,2005,74.683,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,2004,74.603,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,2003,74.509,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,2002,74.365,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,2001,74.209,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,2000,74.017,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,1999,73.806,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,1998,73.584,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,1997,73.326,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,1996,73.079,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,1995,72.838,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,1994,72.571,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,1993,72.333,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,1992,72.09,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,1991,71.858,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,1990,71.629,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,1989,71.408,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,1988,71.183,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,1987,70.982,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,1986,70.762,,,0
"Life expectancy at birth, total (years)",Brunei Darussalam,BRN,1985,70.499,,,0
