indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,2024,,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,2023,1.747,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,2022,1.764,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,2021,1.778,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,2020,1.796,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,2019,1.819,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,2018,1.848,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,2017,1.881,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,2016,1.915,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,2015,1.947,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,2014,1.969,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,2013,1.978,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,2012,1.973,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,2011,1.957,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,2010,1.937,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,2009,1.921,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,2008,1.918,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,2007,1.933,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,2006,1.969,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,2005,2.024,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,2004,2.104,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,2003,2.185,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,2002,2.264,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,2001,2.337,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,2000,2.398,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1999,2.461,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1998,2.533,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1997,2.6,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1996,2.681,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1995,2.787,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1994,2.901,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1993,3.007,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1992,3.111,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1991,3.206,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1990,3.29,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1989,3.364,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1988,3.435,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1987,3.491,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1986,3.549,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1985,3.612,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1984,3.68,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1983,3.751,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1982,3.841,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1981,3.943,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1980,4.067,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1979,4.216,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1978,4.389,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1977,4.58,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1976,4.784,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1975,4.99,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1974,5.183,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1973,5.355,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1972,5.5,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1971,5.619,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1970,5.801,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1969,6.008,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1968,6.204,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1967,6.372,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1966,6.514,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1965,6.647,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1964,6.773,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1963,6.893,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1962,7.03,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1961,7.185,,,1
"Fertility rate, total (births per woman)",Brunei Darussalam,BRN,1960,7.322,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,2024,,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,2023,2.127,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,2022,2.149,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,2021,2.166,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,2020,2.189,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,2019,2.205,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,2018,2.219,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,2017,2.253,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,2016,2.311,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,2015,2.346,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,2014,2.393,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,2013,2.441,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,2012,2.514,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,2011,2.515,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,2010,2.462,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,2009,2.442,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,2008,2.44,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,2007,2.476,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,2006,2.457,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,2005,2.452,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,2004,2.415,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,2003,2.41,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,2002,2.436,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,2001,2.466,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,2000,2.503,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1999,2.568,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1998,2.66,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1997,2.742,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1996,2.782,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1995,2.809,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1994,2.851,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1993,2.9,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1992,2.95,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1991,3.058,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1990,3.114,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1989,3.247,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1988,3.353,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1987,3.42,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1986,3.53,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1985,3.725,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1984,3.956,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1983,4.109,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1982,4.247,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1981,4.356,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1980,4.495,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1979,4.625,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1978,4.732,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1977,4.807,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1976,4.921,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1975,5.032,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1974,5.089,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1973,5.246,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1972,5.315,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1971,5.397,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1970,5.488,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1969,5.553,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1968,5.568,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1967,5.583,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1966,5.593,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1965,5.593,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1964,5.568,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1963,5.551,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1962,5.534,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1961,5.522,,,1
"Fertility rate, total (births per woman)",Indonesia,IDN,1960,5.505,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,2024,,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,2023,2.579,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,2022,2.616,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,2021,2.664,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,2020,2.699,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,2019,2.725,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,2018,2.724,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,2017,2.719,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,2016,2.725,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,2015,2.729,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,2014,2.734,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,2013,2.742,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,2012,2.751,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,2011,2.782,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,2010,2.859,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,2009,2.971,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,2008,3.048,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,2007,3.13,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,2006,3.175,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,2005,3.238,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,2004,3.307,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,2003,3.429,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,2002,3.57,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,2001,3.687,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,2000,3.794,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,1999,3.933,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,1998,4.13,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,1997,4.395,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,1996,4.867,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,1995,5.076,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,1994,5.281,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,1993,5.433,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,1992,5.486,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,1991,5.588,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,1990,5.642,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,1989,5.681,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,1988,5.944,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,1987,6.097,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,1986,6.226,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,1985,6.313,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,1984,6.338,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,1983,6.296,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,1982,6.193,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,1981,6.042,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,1980,5.774,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,1979,4.556,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,1978,3.338,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,1977,2.716,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,1976,3.409,,,1
"Fertility rate, total (births per woman)",Cambodia,KHM,1975,4.103,,,1
