indicator,country,countryiso3code,date,value,unit,obs_status,decimal
Population growth (annual %),Brunei Darussalam,BRN,2024,,,,1
Population growth (annual %),Brunei Darussalam,BRN,2023,0.782881746925984,,,1
Population growth (annual %),Brunei Darussalam,BRN,2022,0.804554269312164,,,1
Population growth (annual %),Brunei Darussalam,BRN,2021,0.96027430523198,,,1
Population growth (annual %),Brunei Darussalam,BRN,2020,1.06148281648515,,,1
Population growth (annual %),Brunei Darussalam,BRN,2019,1.10621350885567,,,1
Population growth (annual %),Brunei Darussalam,BRN,2018,1.15739958778106,,,1
Population growth (annual %),Brunei Darussalam,BRN,2017,1.2107045656128,,,1
Population growth (annual %),Brunei Darussalam,BRN,2016,1.25964272152269,,,1
Population growth (annual %),Brunei Darussalam,BRN,2015,1.30210359279592,,,1
Population growth (annual %),Brunei Darussalam,BRN,2014,1.34019436885468,,,1
Population growth (annual %),Brunei Darussalam,BRN,2013,1.38231470645459,,,1
Population growth (annual %),Brunei Darussalam,BRN,2012,1.53255515873327,,,1
Population growth (annual %),Brunei Darussalam,BRN,2011,1.78274591747739,,,1
Population growth (annual %),Brunei Darussalam,BRN,2010,1.89897689252094,,,1
Population growth (annual %),Brunei Darussalam,BRN,2009,1.87722246166003,,,1
Population growth (annual %),Brunei Darussalam,BRN,2008,1.84867406299599,,,1
Population growth (annual %),Brunei Darussalam,BRN,2007,1.68860465252749,,,1
Population growth (annual %),Brunei Darussalam,BRN,2006,1.58852615956489,,,1
Population growth (annual %),Brunei Darussalam,BRN,2005,1.68724773243682,,,1
Population growth (annual %),Brunei Darussalam,BRN,2004,1.79377776163247,,,1
Population growth (annual %),Brunei Darussalam,BRN,2003,1.90413711851639,,,1
Population growth (annual %),Brunei Darussalam,BRN,2002,2.00587619956124,,,1
Population growth (annual %),Brunei Darussalam,BRN,2001,2.09808399029796,,,1
Population growth (annual %),Brunei Darussalam,BRN,2000,2.17184750364769,,,1
Population growth (annual %),Brunei Darussalam,BRN,1999,2.22422733142457,,,1
Population growth (annual %),Brunei Darussalam,BRN,1998,2.28072165867432,,,1
Population growth (annual %),Brunei Darussalam,BRN,1997,2.34099524940066,,,1
Population growth (annual %),Brunei Darussalam,BRN,1996,2.40260865216409,,,1
Population growth (annual %),Brunei Darussalam,BRN,1995,2.46985364733686,,,1
Population growth (annual %),Brunei Darussalam,BRN,1994,2.53818018062453,,,1
Population growth (annual %),Brunei Darussalam,BRN,1993,2.60873227190994,,,1
Population growth (annual %),Brunei Darussalam,BRN,1992,2.72087553865121,,,1
Population growth (annual %),Brunei Darussalam,BRN,1991,2.82087413872675,,,1
Population growth (annual %),Brunei Darussalam,BRN,1990,2.87212106847642,,,1
Population growth (annual %),Brunei Darussalam,BRN,1989,2.92509049228469,,,1
Population growth (annual %),Brunei Darussalam,BRN,1988,2.97132267531724,,,1
Population growth (annual %),Brunei Darussalam,BRN,1987,3.19997760879289,,,1
