indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"Population, total",Brunei Darussalam,BRN,2024,,,,0
"Population, total",Brunei Darussalam,BRN,2023,458949.0,,,0
"Population, total",Brunei Darussalam,BRN,2022,455370.0,,,0
"Population, total",Brunei Darussalam,BRN,2021,451721.0,,,0
"Population, total",Brunei Darussalam,BRN,2020,447404.0,,,0
"Population, total",Brunei Darussalam,BRN,2019,442680.0,,,0
"Population, total",Brunei Darussalam,BRN,2018,437810.0,,,0
"Population, total",Brunei Darussalam,BRN,2017,432772.0,,,0
"Population, total",Brunei Darussalam,BRN,2016,427564.0,,,0
"Population, total",Brunei Darussalam,BRN,2015,422212.0,,,0
"Population, total",Brunei Darussalam,BRN,2014,416750.0,,,0
"Population, total",Brunei Darussalam,BRN,2013,411202.0,,,0
"Population, total",Brunei Darussalam,BRN,2012,405557.0,,,0
"Population, total",Brunei Darussalam,BRN,2011,399389.0,,,0
"Population, total",Brunei Darussalam,BRN,2010,392332.0,,,0
"Population, total",Brunei Darussalam,BRN,2009,384952.0,,,0
"Population, total",Brunei Darussalam,BRN,2008,377793.0,,,0
"Population, total",Brunei Darussalam,BRN,2007,370873.0,,,0
"Population, total",Brunei Darussalam,BRN,2006,364663.0,,,0
"Population, total",Brunei Darussalam,BRN,2005,358916.0,,,0
"Population, total",Brunei Darussalam,BRN,2004,352911.0,,,0
"Population, total",Brunei Darussalam,BRN,2003,346637.0,,,0
"Population, total",Brunei Darussalam,BRN,2002,340099.0,,,0
"Population, total",Brunei Darussalam,BRN,2001,333345.0,,,0
"Population, total",Brunei Darussalam,BRN,2000,326424.0,,,0
"Population, total",Brunei Darussalam,BRN,1999,319411.0,,,0
"Population, total",Brunei Darussalam,BRN,1998,312385.0,,,0
"Population, total",Brunei Darussalam,BRN,1997,305341.0,,,0
"Population, total",Brunei Darussalam,BRN,1996,298276.0,,,0
"Population, total",Brunei Darussalam,BRN,1995,291195.0,,,0
"Population, total",Brunei Darussalam,BRN,1994,284091.0,,,0
"Population, total",Brunei Darussalam,BRN,1993,276971.0,,,0
"Population, total",Brunei Darussalam,BRN,1992,269839.0,,,0
"Population, total",Brunei Darussalam,BRN,1991,262596.0,,,0
"Population, total",Brunei Darussalam,BRN,1990,255292.0,,,0
"Population, total",Brunei Darussalam,BRN,1989,248064.0,,,0
"Population, total",Brunei Darussalam,BRN,1988,240913.0,,,0
"Population, total",Brunei Darussalam,BRN,1987,233860.0,,,0
"Population, total",Brunei Darussalam,BRN,1986,226495.0,,,0
"Population, total",Brunei Darussalam,BRN,1985,218919.0,,,0
"Population, total",Brunei Darussalam,BRN,1984,211661.0,,,0
"Population, total",Brunei Darussalam,BRN,1983,204741.0,,,0
"Population, total",Brunei Darussalam,BRN,1982,198165.0,,,0
"Population, total",Brunei Darussalam,BRN,1981,191977.0,,,0
"Population, total",Brunei Darussalam,BRN,1980,186111.0,,,0
"Population, total",Brunei Darussalam,BRN,1979,180422.0,,,0
"Population, total",Brunei Darussalam,BRN,1978,174884.0,,,0
"Population, total",Brunei Darussalam,BRN,1977,169277.0,,,0
"Population, total",Brunei Darussalam,BRN,1976,163607.0,,,0
"Population, total",Brunei Darussalam,BRN,1975,158070.0,,,0
"Population, total",Brunei Darussalam,BRN,1974,152656.0,,,0
"Population, total",Brunei Darussalam,BRN,1973,147369.0,,,0
"Population, total",Brunei Darussalam,BRN,1972,142189.0,,,0
"Population, total",Brunei Darussalam,BRN,1971,137921.0,,,0
"Population, total",Brunei Darussalam,BRN,1970,135138.0,,,0
"Population, total",Brunei Darussalam,BRN,1969,131446.0,,,0
"Population, total",Brunei Darussalam,BRN,1968,126222.0,,,0
"Population, total",Brunei Darussalam,BRN,1967,121017.0,,,0
"Population, total",Brunei Darussalam,BRN,1966,115874.0,,,0
"Population, total",Brunei Darussalam,BRN,1965,110838.0,,,0
"Population, total",Brunei Darussalam,BRN,1964,105922.0,,,0
"Population, total",Brunei Darussalam,BRN,1963,101159.0,,,0
"Population, total",Brunei Darussalam,BRN,1962,96719.0,,,0
"Population, total",Brunei Darussalam,BRN,1961,92517.0,,,0
"Population, total",Brunei Darussalam,BRN,1960,88347.0,,,0
"Population, total",Indonesia,IDN,2024,,,,0
"Population, total",Indonesia,IDN,2023,281190067.0,,,0
"Population, total",Indonesia,IDN,2022,278830529.0,,,0
"Population, total",Indonesia,IDN,2021,276758053.0,,,0
"Population, total",Indonesia,IDN,2020,274814866.0,,,0
"Population, total",Indonesia,IDN,2019,272489381.0,,,0
"Population, total",Indonesia,IDN,2018,269951846.0,,,0
"Population, total",Indonesia,IDN,2017,267346658.0,,,0
"Population, total",Indonesia,IDN,2016,264627418.0,,,0
"Population, total",Indonesia,IDN,2015,261799249.0,,,0
"Population, total",Indonesia,IDN,2014,258877399.0,,,0
"Population, total",Indonesia,IDN,2013,255852467.0,,,0
"Population, total",Indonesia,IDN,2012,252698525.0,,,0
"Population, total",Indonesia,IDN,2011,249470032.0,,,0
"Population, total",Indonesia,IDN,2010,246305322.0,,,0
"Population, total",Indonesia,IDN,2009,243220028.0,,,0
"Population, total",Indonesia,IDN,2008,240157903.0,,,0
"Population, total",Indonesia,IDN,2007,237062337.0,,,0
"Population, total",Indonesia,IDN,2006,233951652.0,,,0
"Population, total",Indonesia,IDN,2005,230871650.0,,,0
"Population, total",Indonesia,IDN,2004,227926649.0,,,0
"Population, total",Indonesia,IDN,2003,225048008.0,,,0
"Population, total",Indonesia,IDN,2002,222088495.0,,,0
"Population, total",Indonesia,IDN,2001,219097902.0,,,0
"Population, total",Indonesia,IDN,2000,216077790.0,,,0
"Population, total",Indonesia,IDN,1999,213004668.0,,,0
"Population, total",Indonesia,IDN,1998,209826788.0,,,0
"Population, total",Indonesia,IDN,1997,206536095.0,,,0
"Population, total",Indonesia,IDN,1996,203204348.0,,,0
"Population, total",Indonesia,IDN,1995,199888057.0,,,0
"Population, total",Indonesia,IDN,1994,196591828.0,,,0
"Population, total",Indonesia,IDN,1993,193305168.0,,,0
"Population, total",Indonesia,IDN,1992,190043744.0,,,0
"Population, total",Indonesia,IDN,1991,186778238.0,,,0
"Population, total",Indonesia,IDN,1990,183501098.0,,,0
"Population, total",Indonesia,IDN,1989,180201630.0,,,0
"Population, total",Indonesia,IDN,1988,176855065.0,,,0
"Population, total",Indonesia,IDN,1987,173511154.0,,,0
"Population, total",Indonesia,IDN,1986,170175065.0,,,0
"Population, total",Indonesia,IDN,1985,166776185.0,,,0
"Population, total",Indonesia,IDN,1984,163251124.0,,,0
"Population, total",Indonesia,IDN,1983,159651381.0,,,0
"Population, total",Indonesia,IDN,1982,156052152.0,,,0
"Population, total",Indonesia,IDN,1981,152485035.0,,,0
"Population, total",Indonesia,IDN,1980,148950540.0,,,0
"Population, total",Indonesia,IDN,1979,145434834.0,,,0
"Population, total",Indonesia,IDN,1978,141953163.0,,,0
"Population, total",Indonesia,IDN,1977,138533541.0,,,0
"Population, total",Indonesia,IDN,1976,135173655.0,,,0
"Population, total",Indonesia,IDN,1975,131843848.0,,,0
"Population, total",Indonesia,IDN,1974,128555045.0,,,0
"Population, total",Indonesia,IDN,1973,125288515.0,,,0
"Population, total",Indonesia,IDN,1972,122039841.0,,,0
