indicator,country,countryiso3code,date,value,unit,obs_status,decimal
Rural population (% of total population),Brunei Darussalam,BRN,2024,,,,0
Rural population (% of total population),Brunei Darussalam,BRN,2023,20.851,,,0
Rural population (% of total population),Brunei Darussalam,BRN,2022,21.146,,,0
Rural population (% of total population),Brunei Darussalam,BRN,2021,21.446,,,0
Rural population (% of total population),Brunei Darussalam,BRN,2020,21.75,,,0
Rural population (% of total population),Brunei Darussalam,BRN,2019,22.058,,,0
Rural population (% of total population),Brunei Darussalam,BRN,2018,22.371,,,0
Rural population (% of total population),Brunei Darussalam,BRN,2017,22.688,,,0
Rural population (% of total population),Brunei Darussalam,BRN,2016,23.01,,,0
Rural population (% of total population),Brunei Darussalam,BRN,2015,23.337,,,0
Rural population (% of total population),Brunei Darussalam,BRN,2014,23.668,,,0
Rural population (% of total population),Brunei Darussalam,BRN,2013,24.003,,,0
Rural population (% of total population),Brunei Darussalam,BRN,2012,24.344,,,0
Rural population (% of total population),Brunei Darussalam,BRN,2011,24.69,,,0
Rural population (% of total population),Brunei Darussalam,BRN,2010,25.039,,,0
Rural population (% of total population),Brunei Darussalam,BRN,2009,25.392,,,0
Rural population (% of total population),Brunei Darussalam,BRN,2008,25.748,,,0
Rural population (% of total population),Brunei Darussalam,BRN,2007,26.108,,,0
Rural population (% of total population),Brunei Darussalam,BRN,2006,26.471,,,0
Rural population (% of total population),Brunei Darussalam,BRN,2005,26.837,,,0
Rural population (% of total population),Brunei Darussalam,BRN,2004,27.206,,,0
Rural population (% of total population),Brunei Darussalam,BRN,2003,27.579,,,0
Rural population (% of total population),Brunei Darussalam,BRN,2002,27.954,,,0
Rural population (% of total population),Brunei Darussalam,BRN,2001,28.348,,,0
Rural population (% of total population),Brunei Darussalam,BRN,2000,28.836,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1999,29.331,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1998,29.83,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1997,30.334,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1996,30.842,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1995,31.356,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1994,31.874,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1993,32.396,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1992,32.922,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1991,33.415,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1990,33.562,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1989,33.71,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1988,33.857,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1987,34.006,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1986,34.154,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1985,34.303,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1984,34.452,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1983,34.601,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1982,34.751,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1981,34.901,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1980,35.051,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1979,35.202,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1978,35.353,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1977,35.504,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1976,35.655,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1975,35.807,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1974,35.959,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1973,36.111,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1972,36.264,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1971,36.588,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1970,38.325,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1969,40.092,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1968,41.882,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1967,43.7,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1966,45.531,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1965,47.375,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1964,49.224,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1963,51.08,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1962,52.93,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1961,54.772,,,0
Rural population (% of total population),Brunei Darussalam,BRN,1960,56.599,,,0
Rural population (% of total population),Indonesia,IDN,2024,,,,0
Rural population (% of total population),Indonesia,IDN,2023,41.428,,,0
Rural population (% of total population),Indonesia,IDN,2022,42.066,,,0
Rural population (% of total population),Indonesia,IDN,2021,42.71,,,0
Rural population (% of total population),Indonesia,IDN,2020,43.359,,,0
Rural population (% of total population),Indonesia,IDN,2019,44.015,,,0
Rural population (% of total population),Indonesia,IDN,2018,44.675,,,0
Rural population (% of total population),Indonesia,IDN,2017,45.341,,,0
Rural population (% of total population),Indonesia,IDN,2016,46.011,,,0
Rural population (% of total population),Indonesia,IDN,2015,46.687,,,0
Rural population (% of total population),Indonesia,IDN,2014,47.365,,,0
Rural population (% of total population),Indonesia,IDN,2013,48.045,,,0
Rural population (% of total population),Indonesia,IDN,2012,48.724,,,0
Rural population (% of total population),Indonesia,IDN,2011,49.405,,,0
Rural population (% of total population),Indonesia,IDN,2010,50.086,,,0
Rural population (% of total population),Indonesia,IDN,2009,50.866,,,0
Rural population (% of total population),Indonesia,IDN,2008,51.665,,,0
Rural population (% of total population),Indonesia,IDN,2007,52.465,,,0
Rural population (% of total population),Indonesia,IDN,2006,53.262,,,0
Rural population (% of total population),Indonesia,IDN,2005,54.058,,,0
Rural population (% of total population),Indonesia,IDN,2004,54.851,,,0
Rural population (% of total population),Indonesia,IDN,2003,55.644,,,0
Rural population (% of total population),Indonesia,IDN,2002,56.432,,,0
Rural population (% of total population),Indonesia,IDN,2001,57.217,,,0
Rural population (% of total population),Indonesia,IDN,2000,57.998,,,0
Rural population (% of total population),Indonesia,IDN,1999,59.208,,,0
Rural population (% of total population),Indonesia,IDN,1998,60.407,,,0
Rural population (% of total population),Indonesia,IDN,1997,61.594,,,0
Rural population (% of total population),Indonesia,IDN,1996,62.765,,,0
Rural population (% of total population),Indonesia,IDN,1995,63.924,,,0
Rural population (% of total population),Indonesia,IDN,1994,65.067,,,0
Rural population (% of total population),Indonesia,IDN,1993,66.192,,,0
Rural population (% of total population),Indonesia,IDN,1992,67.297,,,0
Rural population (% of total population),Indonesia,IDN,1991,68.387,,,0
Rural population (% of total population),Indonesia,IDN,1990,69.416,,,0
Rural population (% of total population),Indonesia,IDN,1989,70.349,,,0
Rural population (% of total population),Indonesia,IDN,1988,71.264,,,0
