indicator,country,countryiso3code,date,value,unit,obs_status,decimal
Urban population (% of total population),Brunei Darussalam,BRN,2024,,,,0
Urban population (% of total population),Brunei Darussalam,BRN,2023,79.149,,,0
Urban population (% of total population),Brunei Darussalam,BRN,2022,78.854,,,0
Urban population (% of total population),Brunei Darussalam,BRN,2021,78.554,,,0
Urban population (% of total population),Brunei Darussalam,BRN,2020,78.25,,,0
Urban population (% of total population),Brunei Darussalam,BRN,2019,77.942,,,0
Urban population (% of total population),Brunei Darussalam,BRN,2018,77.629,,,0
Urban population (% of total population),Brunei Darussalam,BRN,2017,77.312,,,0
Urban population (% of total population),Brunei Darussalam,BRN,2016,76.99,,,0
Urban population (% of total population),Brunei Darussalam,BRN,2015,76.663,,,0
Urban population (% of total population),Brunei Darussalam,BRN,2014,76.332,,,0
Urban population (% of total population),Brunei Darussalam,BRN,2013,75.997,,,0
Urban population (% of total population),Brunei Darussalam,BRN,2012,75.656,,,0
Urban population (% of total population),Brunei Darussalam,BRN,2011,75.31,,,0
Urban population (% of total population),Brunei Darussalam,BRN,2010,74.961,,,0
Urban population (% of total population),Brunei Darussalam,BRN,2009,74.608,,,0
Urban population (% of total population),Brunei Darussalam,BRN,2008,74.252,,,0
Urban population (% of total population),Brunei Darussalam,BRN,2007,73.892,,,0
Urban population (% of total population),Brunei Darussalam,BRN,2006,73.529,,,0
Urban population (% of total population),Brunei Darussalam,BRN,2005,73.163,,,0
Urban population (% of total population),Brunei Darussalam,BRN,2004,72.794,,,0
Urban population (% of total population),Brunei Darussalam,BRN,2003,72.421,,,0
Urban population (% of total population),Brunei Darussalam,BRN,2002,72.046,,,0
Urban population (% of total population),Brunei Darussalam,BRN,2001,71.652,,,0
Urban population (% of total population),Brunei Darussalam,BRN,2000,71.164,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1999,70.669,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1998,70.17,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1997,69.666,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1996,69.158,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1995,68.644,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1994,68.126,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1993,67.604,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1992,67.078,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1991,66.585,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1990,66.438,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1989,66.29,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1988,66.143,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1987,65.994,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1986,65.846,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1985,65.697,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1984,65.548,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1983,65.399,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1982,65.249,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1981,65.099,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1980,64.949,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1979,64.798,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1978,64.647,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1977,64.496,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1976,64.345,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1975,64.193,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1974,64.041,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1973,63.889,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1972,63.736,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1971,63.412,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1970,61.675,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1969,59.908,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1968,58.118,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1967,56.3,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1966,54.469,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1965,52.625,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1964,50.776,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1963,48.92,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1962,47.07,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1961,45.228,,,0
Urban population (% of total population),Brunei Darussalam,BRN,1960,43.401,,,0
Urban population (% of total population),Indonesia,IDN,2024,,,,0
Urban population (% of total population),Indonesia,IDN,2023,58.572,,,0
Urban population (% of total population),Indonesia,IDN,2022,57.934,,,0
Urban population (% of total population),Indonesia,IDN,2021,57.29,,,0
Urban population (% of total population),Indonesia,IDN,2020,56.641,,,0
Urban population (% of total population),Indonesia,IDN,2019,55.985,,,0
Urban population (% of total population),Indonesia,IDN,2018,55.325,,,0
Urban population (% of total population),Indonesia,IDN,2017,54.659,,,0
Urban population (% of total population),Indonesia,IDN,2016,53.989,,,0
Urban population (% of total population),Indonesia,IDN,2015,53.313,,,0
Urban population (% of total population),Indonesia,IDN,2014,52.635,,,0
Urban population (% of total population),Indonesia,IDN,2013,51.955,,,0
Urban population (% of total population),Indonesia,IDN,2012,51.276,,,0
Urban population (% of total population),Indonesia,IDN,2011,50.595,,,0
Urban population (% of total population),Indonesia,IDN,2010,49.914,,,0
Urban population (% of total population),Indonesia,IDN,2009,49.134,,,0
Urban population (% of total population),Indonesia,IDN,2008,48.335,,,0
Urban population (% of total population),Indonesia,IDN,2007,47.535,,,0
Urban population (% of total population),Indonesia,IDN,2006,46.738,,,0
Urban population (% of total population),Indonesia,IDN,2005,45.942,,,0
Urban population (% of total population),Indonesia,IDN,2004,45.149,,,0
Urban population (% of total population),Indonesia,IDN,2003,44.356,,,0
Urban population (% of total population),Indonesia,IDN,2002,43.568,,,0
Urban population (% of total population),Indonesia,IDN,2001,42.783,,,0
Urban population (% of total population),Indonesia,IDN,2000,42.002,,,0
Urban population (% of total population),Indonesia,IDN,1999,40.792,,,0
Urban population (% of total population),Indonesia,IDN,1998,39.593,,,0
Urban population (% of total population),Indonesia,IDN,1997,38.406,,,0
Urban population (% of total population),Indonesia,IDN,1996,37.235,,,0
