Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2014 [YR2014],2017 [YR2017],2021 [YR2021],2022 [YR2022]
India,IND,Account (% age 15+),account.t.d,35.23,53.14,79.88,77.53,..
India,IND,"Account, female (% age 15+)",account.t.d.1,26.49,43.13,76.64,77.55,..
India,IND,"Account, in labor force (% age 15+)",account.t.d.12,43.56,63.59,83.89,81.41,..
India,IND,"Account, income, poorest 40% (% ages 15+)",account.t.d.7,26.97,43.61,77.08,78.25,..
India,IND,"Account, income, richest 60% (% ages 15+)",account.t.d.8,40.73,59.48,81.74,77.05,..
India,IND,"Account, male (% age 15+)",account.t.d.2,43.74,62.76,83.01,77.51,..
India,IND,"Account, older (% age 25+)",account.t.d.4,38.03,56.81,83.08,81.3,..
India,IND,"Account, out of labor force (% age 15+)",account.t.d.11,25.71,40.69,75.06,72.73,..
India,IND,"Account, primary education or less (% ages 15+)",account.t.d.5,30.51,43.35,75.37,75.9,..
India,IND,"Account, rural (% age 15+)",account.t.d.9,..,..,..,77.26,..
India,IND,"Account, secondary education or more (% ages 15+)",account.t.d.6,59.47,64.23,84.94,81.3,..
India,IND,"Account, urban (% age 15+)",account.t.d.10,..,..,..,77.83,..
India,IND,"Account, young (% ages 15-24)",account.t.d.3,27.3,43.23,71.4,67.5,..
India,IND,Borrowed any money (% age 15+),borrow.any,..,47.79,42.39,44.79,..
India,IND,Borrowed any money from a formal financial institution or using a mobile money account (% age 15+),fin22a.c.MM.d,..,..,..,12.81,..
India,IND,"Borrowed any money from a formal financial institution or using a mobile money account, female (% age 15+)",fin22a.c.MM.d.1,..,..,..,10.47,..
India,IND,"Borrowed any money from a formal financial institution or using a mobile money account, in labor force (% age 15+)",fin22a.c.MM.d.12,..,..,..,16.43,..
India,IND,"Borrowed any money from a formal financial institution or using a mobile money account, income, poorest 40% (% ages 15+)",fin22a.c.MM.d.7,..,..,..,11.03,..
India,IND,"Borrowed any money from a formal financial institution or using a mobile money account, income, richest 60% (% ages 15+)",fin22a.c.MM.d.8,..,..,..,14,..
India,IND,"Borrowed any money from a formal financial institution or using a mobile money account, male (% age 15+)",fin22a.c.MM.d.2,..,..,..,15,..
India,IND,"Borrowed any money from a formal financial institution or using a mobile money account, older (% age 25+)",fin22a.c.MM.d.4,..,..,..,13.82,..
India,IND,"Borrowed any money from a formal financial institution or using a mobile money account, out of labor force (% age 15+)",fin22a.c.MM.d.11,..,..,..,8.34,..
