indicator,country,countryiso3code,date,value,unit,obs_status,decimal
Population density (people per sq. km of land area),Bangladesh,BGD,2024,,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,2023,,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,2022,1301.25909963893,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,2021,1287.99918568026,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,2020,1277.54493354844,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,2019,1266.90523930245,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,2018,1256.22726434662,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,2017,1245.95641852962,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,2016,1235.3993393255,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,2015,1224.42328493508,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,2014,1213.52791733886,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,2013,1202.52086502266,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,2012,1191.28909118845,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,2011,1179.92683413997,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,2010,1169.25544288238,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,2009,1159.05134823692,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,2008,1148.30040715987,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,2007,1136.89235614965,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,2006,1124.7289928555,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,2005,1111.74453407083,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,2004,1097.8171314435,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,2003,1082.97112237843,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,2002,1067.32471383575,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,2001,1050.97802873166,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,2000,1033.6045478989,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1999,1014.88872243989,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1998,995.792671122378,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1997,977.168848428978,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1996,959.223930245064,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1995,941.848121687025,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1994,924.507789813321,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1993,907.523699777214,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1992,890.775078743182,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1991,874.142344626258,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1990,857.599423830376,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1989,840.699078128601,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1988,823.661427364216,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1987,806.324736882538,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1986,788.473319505262,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1985,770.176115848506,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1984,751.440162863947,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1983,732.389605899977,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1982,713.025328416686,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1981,693.732081124683,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1980,676.165260812783,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1979,660.175708688638,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1978,644.46228009526,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1977,628.925743258815,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1976,613.469447645387,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1975,598.0974955827,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1974,582.617715295383,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1973,566.353952523623,,,0
Population density (people per sq. km of land area),Bangladesh,BGD,1972,550.368894522547,,,0
