indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2024,,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2023,8242.39798977242,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2022,7888.16389098304,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2021,7441.06913961254,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2020,7015.19792797056,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2019,6838.32611608243,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2018,6392.59334024091,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2017,6005.70718781048,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2016,5682.53553494306,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2015,5352.71133299566,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2014,5068.63965672741,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2013,4822.72621378266,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2012,4592.04840919812,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2011,4352.42643359325,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2010,4125.46390163202,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2009,3942.13631207203,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2008,3787.9382761855,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2007,3608.91543819399,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2006,3407.4273502159,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2005,3231.61370692891,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2004,3071.83778764611,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2003,2958.91503115633,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2002,2866.43454328715,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2001,2803.55471950946,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,2000,2712.93512215725,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,1999,2624.06553797638,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,1998,2555.06119218282,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,1997,2475.59574602489,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,1996,2413.54298201505,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,1995,2351.70387946903,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,1994,2279.09435302944,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,1993,2234.8101219225,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,1992,2174.38232866943,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,1991,2101.38366035658,,,0
"GDP per capita, PPP (constant 2021 international $)",Bangladesh,BGD,1990,2069.78230100672,,,0
