indicator,country,countryiso3code,date,value,unit,obs_status,decimal
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,2024,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,2023,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,2022,18.7,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,2021,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,2020,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,2019,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,2018,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,2017,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,2016,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,2015,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,2014,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,2013,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,2012,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,2011,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,2010,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,2009,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,2008,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,2007,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,2006,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,2005,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,2004,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,2003,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,2002,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,2001,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,2000,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1999,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1998,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1997,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1996,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1995,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1994,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1993,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1992,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1991,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1990,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1989,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1988,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1987,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1986,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1985,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1984,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1983,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1982,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1981,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1980,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1979,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1978,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1977,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1976,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1975,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1974,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1973,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1972,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1971,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1970,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1969,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1968,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1967,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1966,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1965,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1964,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1963,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1962,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1961,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bangladesh,BGD,1960,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,2024,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,2023,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,2022,12.4,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,2021,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,2020,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,2019,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,2018,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,2017,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,2016,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,2015,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,2014,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,2013,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,2012,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,2011,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,2010,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,2009,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,2008,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,2007,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,2006,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,2005,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,2004,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,2003,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,2002,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,2001,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,2000,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1999,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1998,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1997,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1996,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1995,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1994,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1993,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1992,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1991,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1990,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1989,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1988,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1987,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1986,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1985,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1984,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1983,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1982,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1981,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1980,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1979,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1978,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1977,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1976,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1975,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1974,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1973,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1972,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1971,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1970,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1969,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1968,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1967,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1966,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1965,,,,1
Poverty headcount ratio at national poverty lines (% of population),Bhutan,BTN,1964,,,,1
