indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,2024,,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,2023,24.4,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,2022,24.4,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,2021,24.5,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,2020,24.9,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,2019,25.4,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,2018,26.3,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,2017,27.4,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,2016,28.6,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,2015,30.0,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,2014,31.4,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,2013,32.7,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,2012,34.1,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,2011,35.4,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,2010,36.9,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,2009,38.4,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,2008,40.1,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,2007,41.9,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,2006,43.9,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,2005,46.0,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,2004,48.4,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,2003,50.9,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,2002,53.6,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,2001,56.6,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,2000,59.8,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1999,63.3,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1998,66.9,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1997,70.5,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1996,74.2,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1995,77.8,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1994,81.5,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1993,85.2,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1992,88.9,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1991,92.5,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1990,96.2,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1989,99.9,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1988,103.8,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1987,107.7,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1986,111.6,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1985,115.4,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1984,119.1,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1983,122.6,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1982,126.1,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1981,129.4,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1980,132.7,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1979,135.8,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1978,139.0,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1977,141.8,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1976,144.2,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1975,145.9,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1974,147.2,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1973,148.0,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1972,148.4,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1971,205.7,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1970,165.3,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1969,148.9,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1968,149.7,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1967,151.0,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1966,153.1,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1965,155.9,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1964,159.4,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1963,163.7,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1962,168.4,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1961,173.3,,,0
"Mortality rate, infant (per 1,000 live births)",Bangladesh,BGD,1960,178.6,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,2024,,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,2023,18.5,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,2022,19.1,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,2021,19.8,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,2020,20.3,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,2019,21.1,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,2018,21.8,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,2017,22.6,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,2016,23.4,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,2015,24.4,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,2014,25.4,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,2013,26.5,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,2012,27.9,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,2011,29.5,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,2010,31.4,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,2009,33.6,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,2008,35.9,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,2007,38.4,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,2006,41.2,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,2005,44.1,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,2004,47.2,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,2003,50.3,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,2002,53.5,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,2001,56.7,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,2000,60.1,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1999,63.4,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1998,66.8,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1997,70.5,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1996,74.0,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1995,77.6,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1994,81.2,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1993,84.8,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1992,88.3,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1991,92.0,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1990,95.8,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1989,99.7,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1988,104.0,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1987,108.4,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1986,112.8,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1985,117.3,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1984,122.0,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1983,126.8,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1982,131.6,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1981,136.3,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1980,141.2,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1979,146.0,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1978,150.4,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1977,155.0,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1976,159.5,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1975,163.7,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1974,168.0,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1973,172.1,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1972,176.1,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1971,179.8,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1970,183.7,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1969,187.0,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1968,190.9,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1967,,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1966,,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1965,,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1964,,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1963,,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1962,,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1961,,,,0
"Mortality rate, infant (per 1,000 live births)",Bhutan,BTN,1960,,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,2024,,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,2023,24.5,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,2022,25.6,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,2021,26.8,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,2020,28.2,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,2019,29.7,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,2018,31.3,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,2017,33.0,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,2016,34.7,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,2015,36.6,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,2014,38.5,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,2013,40.5,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,2012,42.5,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,2011,44.6,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,2010,46.7,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,2009,48.7,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,2008,50.8,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,2007,52.8,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,2006,54.8,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,2005,56.7,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,2004,58.6,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,2003,60.5,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,2002,62.4,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,2001,64.3,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,2000,66.3,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1999,68.2,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1998,70.2,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1997,72.0,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1996,73.8,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1995,75.6,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1994,77.3,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1993,78.9,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1992,80.6,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1991,82.4,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1990,84.3,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1989,86.4,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1988,88.5,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1987,90.8,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1986,93.1,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1985,95.3,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1984,97.6,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1983,99.9,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1982,102.5,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1981,105.3,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1980,108.4,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1979,111.7,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1978,115.2,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1977,118.6,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1976,121.9,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1975,124.8,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1974,127.6,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1973,130.0,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1972,132.2,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1971,134.0,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1970,135.8,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1969,137.3,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1968,138.8,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1967,140.0,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1966,141.3,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1965,142.6,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1964,144.0,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1963,145.5,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1962,147.0,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1961,148.8,,,0
"Mortality rate, infant (per 1,000 live births)",India,IND,1960,150.6,,,0
"Mortality rate, infant (per 1,000 live births)",Sri Lanka,LKA,2024,,,,0
"Mortality rate, infant (per 1,000 live births)",Sri Lanka,LKA,2023,5.3,,,0
"Mortality rate, infant (per 1,000 live births)",Sri Lanka,LKA,2022,5.5,,,0
"Mortality rate, infant (per 1,000 live births)",Sri Lanka,LKA,2021,5.8,,,0
"Mortality rate, infant (per 1,000 live births)",Sri Lanka,LKA,2020,6.0,,,0
"Mortality rate, infant (per 1,000 live births)",Sri Lanka,LKA,2019,6.2,,,0
"Mortality rate, infant (per 1,000 live births)",Sri Lanka,LKA,2018,6.5,,,0
"Mortality rate, infant (per 1,000 live births)",Sri Lanka,LKA,2017,6.7,,,0
"Mortality rate, infant (per 1,000 live births)",Sri Lanka,LKA,2016,7.0,,,0
"Mortality rate, infant (per 1,000 live births)",Sri Lanka,LKA,2015,7.4,,,0
"Mortality rate, infant (per 1,000 live births)",Sri Lanka,LKA,2014,7.7,,,0
