indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"Life expectancy at birth, total (years)",Bangladesh,BGD,2024,,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,2023,74.672,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,2022,74.265,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,2021,71.103,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,2020,71.421,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,2019,72.625,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,2018,72.122,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,2017,71.606,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,2016,71.075,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,2015,70.543,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,2014,70.016,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,2013,69.487,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,2012,68.989,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,2011,68.499,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,2010,68.009,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,2009,67.527,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,2008,67.047,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,2007,66.458,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,2006,66.048,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,2005,65.509,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,2004,64.912,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,2003,64.288,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,2002,63.591,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,2001,62.836,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,2000,62.049,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1999,61.244,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1998,60.429,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1997,59.671,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1996,58.94,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1995,58.244,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1994,57.64,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1993,57.073,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1992,56.592,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1991,53.781,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1990,55.822,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1989,55.514,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1988,55.174,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1987,54.899,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1986,54.592,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1985,53.937,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1984,53.826,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1983,53.441,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1982,53.012,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1981,52.638,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1980,52.278,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1979,51.959,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1978,51.596,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1977,51.265,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1976,50.951,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1975,50.627,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1974,49.589,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1973,49.914,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1972,49.647,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1971,26.522,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1970,42.667,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1969,48.686,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1968,48.4,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1967,48.066,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1966,47.644,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1965,46.046,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1964,46.752,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1963,45.722,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1962,45.765,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1961,44.887,,,0
"Life expectancy at birth, total (years)",Bangladesh,BGD,1960,43.98,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,2024,,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,2023,72.975,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,2022,72.754,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,2021,72.448,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,2020,72.253,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,2019,72.005,,,0
"Life expectancy at birth, total (years)",Bhutan,BTN,2018,71.711,,,0
