indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"Fertility rate, total (births per woman)",Bangladesh,BGD,2024,,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,2023,2.163,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,2022,2.179,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,2021,2.173,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,2020,2.175,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,2019,2.18,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,2018,2.193,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,2017,2.205,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,2016,2.227,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,2015,2.227,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,2014,2.228,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,2013,2.247,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,2012,2.263,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,2011,2.309,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,2010,2.38,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,2009,2.484,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,2008,2.577,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,2007,2.666,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,2006,2.755,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,2005,2.846,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,2004,2.94,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,2003,3.029,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,2002,3.126,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,2001,3.203,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,2000,3.279,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1999,3.357,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1998,3.427,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1997,3.502,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1996,3.505,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1995,3.588,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1994,3.737,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1993,3.832,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1992,4.027,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1991,4.261,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1990,4.506,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1989,4.695,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1988,4.849,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1987,5.075,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1986,5.302,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1985,5.539,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1984,5.732,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1983,5.906,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1982,6.118,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1981,6.237,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1980,6.326,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1979,6.421,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1978,6.509,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1977,6.583,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1976,6.66,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1975,6.728,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1974,6.778,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1973,6.8,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1972,6.816,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1971,6.831,,,1
"Fertility rate, total (births per woman)",Bangladesh,BGD,1970,6.839,,,1
