indicator,country,countryiso3code,date,value,unit,obs_status,decimal
Population growth (annual %),Bangladesh,BGD,2024,,,,1
Population growth (annual %),Bangladesh,BGD,2023,1.22171475464107,,,1
Population growth (annual %),Bangladesh,BGD,2022,1.02423384746683,,,1
Population growth (annual %),Bangladesh,BGD,2021,0.814977993693211,,,1
Population growth (annual %),Bangladesh,BGD,2020,0.836310836229073,,,1
Population growth (annual %),Bangladesh,BGD,2019,0.84641125179804,,,1
Population growth (annual %),Bangladesh,BGD,2018,0.820955197842845,,,1
Population growth (annual %),Bangladesh,BGD,2017,0.850917315689336,,,1
Population growth (annual %),Bangladesh,BGD,2016,0.892432416039535,,,1
Population growth (annual %),Bangladesh,BGD,2015,0.89381937776758,,,1
Population growth (annual %),Bangladesh,BGD,2014,0.911167733810249,,,1
Population growth (annual %),Bangladesh,BGD,2013,0.938408350120779,,,1
Population growth (annual %),Bangladesh,BGD,2012,0.958355912717609,,,1
Population growth (annual %),Bangladesh,BGD,2011,0.908525895582217,,,1
Population growth (annual %),Bangladesh,BGD,2010,0.876530534249878,,,1
Population growth (annual %),Bangladesh,BGD,2009,0.931892491457971,,,1
Population growth (annual %),Bangladesh,BGD,2008,0.9984405660693,,,1
Population growth (annual %),Bangladesh,BGD,2007,1.07564253185597,,,1
Population growth (annual %),Bangladesh,BGD,2006,1.16116775095831,,,1
Population growth (annual %),Bangladesh,BGD,2005,1.2606651625389,,,1
Population growth (annual %),Bangladesh,BGD,2004,1.36154790691024,,,1
Population growth (annual %),Bangladesh,BGD,2003,1.45530530506763,,,1
Population growth (annual %),Bangladesh,BGD,2002,1.54340635736975,,,1
Population growth (annual %),Bangladesh,BGD,2001,1.66689324749509,,,1
Population growth (annual %),Bangladesh,BGD,2000,1.82732806740512,,,1
Population growth (annual %),Bangladesh,BGD,1999,1.89951780093278,,,1
Population growth (annual %),Bangladesh,BGD,1998,1.88796139153147,,,1
Population growth (annual %),Bangladesh,BGD,1997,1.85349089461291,,,1
Population growth (annual %),Bangladesh,BGD,1996,1.82805195849607,,,1
Population growth (annual %),Bangladesh,BGD,1995,1.85825551797916,,,1
Population growth (annual %),Bangladesh,BGD,1994,1.85417955110796,,,1
Population growth (annual %),Bangladesh,BGD,1993,1.86277225280699,,,1
Population growth (annual %),Bangladesh,BGD,1992,1.8848730627462,,,1
Population growth (annual %),Bangladesh,BGD,1991,1.91061096227259,,,1
Population growth (annual %),Bangladesh,BGD,1990,1.9903336888239,,,1
Population growth (annual %),Bangladesh,BGD,1989,2.04742252381831,,,1
Population growth (annual %),Bangladesh,BGD,1988,2.12729956278453,,,1
Population growth (annual %),Bangladesh,BGD,1987,2.23879919175218,,,1
Population growth (annual %),Bangladesh,BGD,1986,2.34793582288977,,,1
Population growth (annual %),Bangladesh,BGD,1985,2.4627628154011,,,1
Population growth (annual %),Bangladesh,BGD,1984,2.5678961557477,,,1
Population growth (annual %),Bangladesh,BGD,1983,2.67956773551459,,,1
Population growth (annual %),Bangladesh,BGD,1982,2.74311077918066,,,1
Population growth (annual %),Bangladesh,BGD,1981,2.56483208942694,,,1
Population growth (annual %),Bangladesh,BGD,1980,2.39314899487113,,,1
Population growth (annual %),Bangladesh,BGD,1979,2.40897300494193,,,1
Population growth (annual %),Bangladesh,BGD,1978,2.44031003262387,,,1
Population growth (annual %),Bangladesh,BGD,1977,2.48827316770837,,,1
Population growth (annual %),Bangladesh,BGD,1976,2.53766860687182,,,1
Population growth (annual %),Bangladesh,BGD,1975,2.62225253859974,,,1
Population growth (annual %),Bangladesh,BGD,1974,2.83120108031118,,,1
Population growth (annual %),Bangladesh,BGD,1973,2.86304698541463,,,1
Population growth (annual %),Bangladesh,BGD,1972,1.92336477179015,,,1
Population growth (annual %),Bangladesh,BGD,1971,1.74814557140031,,,1
Population growth (annual %),Bangladesh,BGD,1970,2.5886620743881,,,1
Population growth (annual %),Bangladesh,BGD,1969,2.84242612307535,,,1
Population growth (annual %),Bangladesh,BGD,1968,2.94367934740019,,,1
Population growth (annual %),Bangladesh,BGD,1967,2.94175581030493,,,1
Population growth (annual %),Bangladesh,BGD,1966,2.90758855629955,,,1
Population growth (annual %),Bangladesh,BGD,1965,2.92048527314111,,,1
Population growth (annual %),Bangladesh,BGD,1964,2.91951583062664,,,1
Population growth (annual %),Bangladesh,BGD,1963,2.91486814980727,,,1
Population growth (annual %),Bangladesh,BGD,1962,2.90394064545035,,,1
Population growth (annual %),Bangladesh,BGD,1961,2.8187180554552,,,1
Population growth (annual %),Bangladesh,BGD,1960,,,,1
Population growth (annual %),Bhutan,BTN,2024,,,,1
Population growth (annual %),Bhutan,BTN,2023,0.698146584889649,,,1
Population growth (annual %),Bhutan,BTN,2022,0.703183917780367,,,1
Population growth (annual %),Bhutan,BTN,2021,0.703488233671584,,,1
Population growth (annual %),Bhutan,BTN,2020,0.675256502719854,,,1
Population growth (annual %),Bhutan,BTN,2019,0.66444642692507,,,1
Population growth (annual %),Bhutan,BTN,2018,0.716471130925301,,,1
