indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"Population, total",Bangladesh,BGD,2024,,,,0
"Population, total",Bangladesh,BGD,2023,171466990.0,,,0
"Population, total",Bangladesh,BGD,2022,169384897.0,,,0
"Population, total",Bangladesh,BGD,2021,167658854.0,,,0
"Population, total",Bangladesh,BGD,2020,166298024.0,,,0
"Population, total",Bangladesh,BGD,2019,164913055.0,,,0
"Population, total",Bangladesh,BGD,2018,163523103.0,,,0
"Population, total",Bangladesh,BGD,2017,162186147.0,,,0
"Population, total",Bangladesh,BGD,2016,160811932.0,,,0
"Population, total",Bangladesh,BGD,2015,159383179.0,,,0
"Population, total",Bangladesh,BGD,2014,157964929.0,,,0
"Population, total",Bangladesh,BGD,2013,156532141.0,,,0
"Population, total",Bangladesh,BGD,2012,155070101.0,,,0
"Population, total",Bangladesh,BGD,2011,153591076.0,,,0
"Population, total",Bangladesh,BGD,2010,152201981.0,,,0
"Population, total",Bangladesh,BGD,2009,150873714.0,,,0
"Population, total",Bangladesh,BGD,2008,149474264.0,,,0
"Population, total",Bangladesh,BGD,2007,147989278.0,,,0
"Population, total",Bangladesh,BGD,2006,146405973.0,,,0
"Population, total",Bangladesh,BGD,2005,144715786.0,,,0
"Population, total",Bangladesh,BGD,2004,142902856.0,,,0
"Population, total",Bangladesh,BGD,2003,140970351.0,,,0
"Population, total",Bangladesh,BGD,2002,138933658.0,,,0
"Population, total",Bangladesh,BGD,2001,136805810.0,,,0
"Population, total",Bangladesh,BGD,2000,134544304.0,,,0
"Population, total",Bangladesh,BGD,1999,132108065.0,,,0
"Population, total",Bangladesh,BGD,1998,129622332.0,,,0
"Population, total",Bangladesh,BGD,1997,127198069.0,,,0
"Population, total",Bangladesh,BGD,1996,124862179.0,,,0
"Population, total",Bangladesh,BGD,1995,122600370.0,,,0
"Population, total",Bangladesh,BGD,1994,120343179.0,,,0
"Population, total",Bangladesh,BGD,1993,118132360.0,,,0
"Population, total",Bangladesh,BGD,1992,115952192.0,,,0
"Population, total",Bangladesh,BGD,1991,113787109.0,,,0
"Population, total",Bangladesh,BGD,1990,111633717.0,,,0
"Population, total",Bangladesh,BGD,1989,109433799.0,,,0
"Population, total",Bangladesh,BGD,1988,107216008.0,,,0
"Population, total",Bangladesh,BGD,1987,104959291.0,,,0
"Population, total",Bangladesh,BGD,1986,102635572.0,,,0
"Population, total",Bangladesh,BGD,1985,100253825.0,,,0
"Population, total",Bangladesh,BGD,1984,97814966.0,,,0
"Population, total",Bangladesh,BGD,1983,95335155.0,,,0
"Population, total",Bangladesh,BGD,1982,92814507.0,,,0
"Population, total",Bangladesh,BGD,1981,90303105.0,,,0
"Population, total",Bangladesh,BGD,1980,88016432.0,,,0
"Population, total",Bangladesh,BGD,1979,85935072.0,,,0
"Population, total",Bangladesh,BGD,1978,83889655.0,,,0
"Population, total",Bangladesh,BGD,1977,81867264.0,,,0
"Population, total",Bangladesh,BGD,1976,79855318.0,,,0
"Population, total",Bangladesh,BGD,1975,77854351.0,,,0
"Population, total",Bangladesh,BGD,1974,75839348.0,,,0
"Population, total",Bangladesh,BGD,1973,73722294.0,,,0
"Population, total",Bangladesh,BGD,1972,71641519.0,,,0
"Population, total",Bangladesh,BGD,1971,70276758.0,,,0
"Population, total",Bangladesh,BGD,1970,69058894.0,,,0
"Population, total",Bangladesh,BGD,1969,67294133.0,,,0
"Population, total",Bangladesh,BGD,1968,65408276.0,,,0
"Population, total",Bangladesh,BGD,1967,63510929.0,,,0
"Population, total",Bangladesh,BGD,1966,61669806.0,,,0
"Population, total",Bangladesh,BGD,1965,59902519.0,,,0
"Population, total",Bangladesh,BGD,1964,58178374.0,,,0
"Population, total",Bangladesh,BGD,1963,56504402.0,,,0
"Population, total",Bangladesh,BGD,1962,54881146.0,,,0
"Population, total",Bangladesh,BGD,1961,53310348.0,,,0
"Population, total",Bangladesh,BGD,1960,51828660.0,,,0
"Population, total",Bhutan,BTN,2024,,,,0
