indicator,country,countryiso3code,date,value,unit,obs_status,decimal
Rural population (% of total population),Bangladesh,BGD,2024,,,,0
Rural population (% of total population),Bangladesh,BGD,2023,59.527,,,0
Rural population (% of total population),Bangladesh,BGD,2022,60.289,,,0
Rural population (% of total population),Bangladesh,BGD,2021,61.054,,,0
Rural population (% of total population),Bangladesh,BGD,2020,61.823,,,0
Rural population (% of total population),Bangladesh,BGD,2019,62.595,,,0
Rural population (% of total population),Bangladesh,BGD,2018,63.368,,,0
Rural population (% of total population),Bangladesh,BGD,2017,64.142,,,0
Rural population (% of total population),Bangladesh,BGD,2016,64.917,,,0
Rural population (% of total population),Bangladesh,BGD,2015,65.692,,,0
Rural population (% of total population),Bangladesh,BGD,2014,66.465,,,0
Rural population (% of total population),Bangladesh,BGD,2013,67.238,,,0
Rural population (% of total population),Bangladesh,BGD,2012,68.007,,,0
Rural population (% of total population),Bangladesh,BGD,2011,68.775,,,0
Rural population (% of total population),Bangladesh,BGD,2010,69.538,,,0
Rural population (% of total population),Bangladesh,BGD,2009,70.291,,,0
Rural population (% of total population),Bangladesh,BGD,2008,71.032,,,0
Rural population (% of total population),Bangladesh,BGD,2007,71.763,,,0
Rural population (% of total population),Bangladesh,BGD,2006,72.483,,,0
Rural population (% of total population),Bangladesh,BGD,2005,73.191,,,0
Rural population (% of total population),Bangladesh,BGD,2004,73.886,,,0
Rural population (% of total population),Bangladesh,BGD,2003,74.571,,,0
Rural population (% of total population),Bangladesh,BGD,2002,75.244,,,0
Rural population (% of total population),Bangladesh,BGD,2001,75.904,,,0
Rural population (% of total population),Bangladesh,BGD,2000,76.41,,,0
Rural population (% of total population),Bangladesh,BGD,1999,76.798,,,0
Rural population (% of total population),Bangladesh,BGD,1998,77.182,,,0
Rural population (% of total population),Bangladesh,BGD,1997,77.562,,,0
Rural population (% of total population),Bangladesh,BGD,1996,77.936,,,0
Rural population (% of total population),Bangladesh,BGD,1995,78.307,,,0
Rural population (% of total population),Bangladesh,BGD,1994,78.672,,,0
Rural population (% of total population),Bangladesh,BGD,1993,79.034,,,0
Rural population (% of total population),Bangladesh,BGD,1992,79.39,,,0
Rural population (% of total population),Bangladesh,BGD,1991,79.743,,,0
Rural population (% of total population),Bangladesh,BGD,1990,80.189,,,0
Rural population (% of total population),Bangladesh,BGD,1989,80.67,,,0
Rural population (% of total population),Bangladesh,BGD,1988,81.141,,,0
Rural population (% of total population),Bangladesh,BGD,1987,81.605,,,0
Rural population (% of total population),Bangladesh,BGD,1986,82.059,,,0
Rural population (% of total population),Bangladesh,BGD,1985,82.504,,,0
Rural population (% of total population),Bangladesh,BGD,1984,82.94,,,0
Rural population (% of total population),Bangladesh,BGD,1983,83.369,,,0
Rural population (% of total population),Bangladesh,BGD,1982,83.788,,,0
Rural population (% of total population),Bangladesh,BGD,1981,84.199,,,0
Rural population (% of total population),Bangladesh,BGD,1980,85.149,,,0
Rural population (% of total population),Bangladesh,BGD,1979,86.299,,,0
Rural population (% of total population),Bangladesh,BGD,1978,87.371,,,0
Rural population (% of total population),Bangladesh,BGD,1977,88.37,,,0
Rural population (% of total population),Bangladesh,BGD,1976,89.299,,,0
Rural population (% of total population),Bangladesh,BGD,1975,90.164,,,0
Rural population (% of total population),Bangladesh,BGD,1974,90.966,,,0
Rural population (% of total population),Bangladesh,BGD,1973,91.447,,,0
Rural population (% of total population),Bangladesh,BGD,1972,91.779,,,0
Rural population (% of total population),Bangladesh,BGD,1971,92.099,,,0
Rural population (% of total population),Bangladesh,BGD,1970,92.407,,,0
Rural population (% of total population),Bangladesh,BGD,1969,92.704,,,0
Rural population (% of total population),Bangladesh,BGD,1968,92.991,,,0
Rural population (% of total population),Bangladesh,BGD,1967,93.267,,,0
Rural population (% of total population),Bangladesh,BGD,1966,93.533,,,0
Rural population (% of total population),Bangladesh,BGD,1965,93.789,,,0
Rural population (% of total population),Bangladesh,BGD,1964,94.036,,,0
Rural population (% of total population),Bangladesh,BGD,1963,94.273,,,0
Rural population (% of total population),Bangladesh,BGD,1962,94.502,,,0
Rural population (% of total population),Bangladesh,BGD,1961,94.722,,,0
Rural population (% of total population),Bangladesh,BGD,1960,94.865,,,0
Rural population (% of total population),Bhutan,BTN,2024,,,,0
Rural population (% of total population),Bhutan,BTN,2023,55.65,,,0
Rural population (% of total population),Bhutan,BTN,2022,56.314,,,0
Rural population (% of total population),Bhutan,BTN,2021,56.992,,,0
Rural population (% of total population),Bhutan,BTN,2020,57.684,,,0
Rural population (% of total population),Bhutan,BTN,2019,58.388,,,0
Rural population (% of total population),Bhutan,BTN,2018,59.105,,,0
Rural population (% of total population),Bhutan,BTN,2017,59.833,,,0
Rural population (% of total population),Bhutan,BTN,2016,60.572,,,0
Rural population (% of total population),Bhutan,BTN,2015,61.322,,,0
Rural population (% of total population),Bhutan,BTN,2014,62.082,,,0
Rural population (% of total population),Bhutan,BTN,2013,62.851,,,0
Rural population (% of total population),Bhutan,BTN,2012,63.629,,,0
