indicator,country,countryiso3code,date,value,unit,obs_status,decimal
Urban population (% of total population),Bangladesh,BGD,2024,,,,0
Urban population (% of total population),Bangladesh,BGD,2023,40.473,,,0
Urban population (% of total population),Bangladesh,BGD,2022,39.711,,,0
Urban population (% of total population),Bangladesh,BGD,2021,38.946,,,0
Urban population (% of total population),Bangladesh,BGD,2020,38.177,,,0
Urban population (% of total population),Bangladesh,BGD,2019,37.405,,,0
Urban population (% of total population),Bangladesh,BGD,2018,36.632,,,0
Urban population (% of total population),Bangladesh,BGD,2017,35.858,,,0
Urban population (% of total population),Bangladesh,BGD,2016,35.083,,,0
Urban population (% of total population),Bangladesh,BGD,2015,34.308,,,0
Urban population (% of total population),Bangladesh,BGD,2014,33.535,,,0
Urban population (% of total population),Bangladesh,BGD,2013,32.762,,,0
Urban population (% of total population),Bangladesh,BGD,2012,31.993,,,0
Urban population (% of total population),Bangladesh,BGD,2011,31.225,,,0
Urban population (% of total population),Bangladesh,BGD,2010,30.462,,,0
Urban population (% of total population),Bangladesh,BGD,2009,29.709,,,0
Urban population (% of total population),Bangladesh,BGD,2008,28.968,,,0
Urban population (% of total population),Bangladesh,BGD,2007,28.237,,,0
Urban population (% of total population),Bangladesh,BGD,2006,27.517,,,0
Urban population (% of total population),Bangladesh,BGD,2005,26.809,,,0
Urban population (% of total population),Bangladesh,BGD,2004,26.114,,,0
Urban population (% of total population),Bangladesh,BGD,2003,25.429,,,0
Urban population (% of total population),Bangladesh,BGD,2002,24.756,,,0
Urban population (% of total population),Bangladesh,BGD,2001,24.096,,,0
Urban population (% of total population),Bangladesh,BGD,2000,23.59,,,0
Urban population (% of total population),Bangladesh,BGD,1999,23.202,,,0
Urban population (% of total population),Bangladesh,BGD,1998,22.818,,,0
Urban population (% of total population),Bangladesh,BGD,1997,22.438,,,0
Urban population (% of total population),Bangladesh,BGD,1996,22.064,,,0
Urban population (% of total population),Bangladesh,BGD,1995,21.693,,,0
Urban population (% of total population),Bangladesh,BGD,1994,21.328,,,0
Urban population (% of total population),Bangladesh,BGD,1993,20.966,,,0
Urban population (% of total population),Bangladesh,BGD,1992,20.61,,,0
Urban population (% of total population),Bangladesh,BGD,1991,20.257,,,0
Urban population (% of total population),Bangladesh,BGD,1990,19.811,,,0
Urban population (% of total population),Bangladesh,BGD,1989,19.33,,,0
Urban population (% of total population),Bangladesh,BGD,1988,18.859,,,0
Urban population (% of total population),Bangladesh,BGD,1987,18.395,,,0
Urban population (% of total population),Bangladesh,BGD,1986,17.941,,,0
Urban population (% of total population),Bangladesh,BGD,1985,17.496,,,0
Urban population (% of total population),Bangladesh,BGD,1984,17.06,,,0
Urban population (% of total population),Bangladesh,BGD,1983,16.631,,,0
Urban population (% of total population),Bangladesh,BGD,1982,16.212,,,0
Urban population (% of total population),Bangladesh,BGD,1981,15.801,,,0
Urban population (% of total population),Bangladesh,BGD,1980,14.851,,,0
Urban population (% of total population),Bangladesh,BGD,1979,13.701,,,0
Urban population (% of total population),Bangladesh,BGD,1978,12.629,,,0
Urban population (% of total population),Bangladesh,BGD,1977,11.63,,,0
Urban population (% of total population),Bangladesh,BGD,1976,10.701,,,0
