state,code,
'Andhra Pradesh',a1,
'Arunachal Pradesh',a2,
'Assam',a3,
'Bihar',b1,
'Chhattisgarh',c1,
'Delhi',d1,
'Goa',g1,
'Gujarat',g2,
'Haryana',h1,
'Himachal Pradesh',h2,
'Jharkhand',j1,
'Karnataka',k1,
'Kerala',k2,
'Madhya Pradesh',m1,
'Maharashtra',m2,
'Manipur',m3,
'Meghalaya',m4,
'Mizoram',m5,
'Nagaland',n1,
'Odisha',o1,
'Punjab',p1,
'Rajasthan',r1,
'Sikkim',s1,
'Tamil Nadu',t1,
'Telangana',t2,
'Tripura',t3,
'Uttar Pradesh',u1,
'Uttarakhand',u2,
'West Bengal',w1,
'Andaman & N. Island',a4,
'Chandigarh',c2,
'Dadra & Nagar Haveli & Daman &',d2,
'Dadra & Nagar Haveli',d2,
'Dadra & Nagar Haveli and Daman &',d2,
'Dadra & Nagar Haveli and Daman & Diu',d2,
'Jammu & Kashmir',j2,
'Ladakh',l1,
'Lakshadweep',l2,
'Puducherry',p2,
'all-India',all,
'All-India,all,
