areaCode,year,ProductionValue
AFG,2000,95339.869625
AFG,2001,91571.104917
AFG,2002,87425
AFG,2003,98889.092629
AFG,2004,89106.483084
AFG,2005,112480.707772
AFG,2006,122928.607685
AFG,2007,175086.177885
AFG,2008,150901.2995
AFG,2009,198018.725825
AFG,2010,208715.670762
AFG,2011,243601.036956
AFG,2012,278175.498101
AFG,2013,298046.130858
AFG,2014,297055.155311
AFG,2015,277151.282154
AFG,2016,320302.264167
AFG,2017,329185.780789
AFG,2018,311797.208953
AFG,2019,390899.32419
AFG,2020,460115.187513
AFG,2021,420363.939876
AFG,2022,432537.77528
AFG,2023,466204.96875
ARM,2000,239330.135633
ARM,2001,301016.898474
ARM,2002,319613.628465
ARM,2003,349650.888539
ARM,2004,431462.715521
ARM,2005,427832.672185
ARM,2006,496579.739457
ARM,2007,574114.128748
ARM,2008,581288.908402
ARM,2009,530731.115239
ARM,2010,588433.524601
ARM,2011,768178.930698
ARM,2012,764237.5
ARM,2013,839821.1
ARM,2014,872631.1
ARM,2015,868671
ARM,2016,830553.4
ARM,2017,834354.6
ARM,2018,838913.8
ARM,2019,754157.8
ARM,2020,701633.9
ARM,2021,793115.7
ARM,2022,881865.5
ARM,2023,917844.625
AZE,2000,758.92
AZE,2001,788.7
AZE,2002,846
AZE,2003,888
AZE,2004,937.3
AZE,2005,1137.9
AZE,2006,1329.4
AZE,2007,1901
AZE,2008,2246
AZE,2009,2179.5
AZE,2010,2344.6
AZE,2011,2643.5
AZE,2012,2813.7
AZE,2013,3122.2
AZE,2014,3139.2
AZE,2015,3359.4
AZE,2016,3386.8
AZE,2017,3944.1
AZE,2018,4174.8
AZE,2019,4664.2
AZE,2020,4891
AZE,2021,5336.8
AZE,2022,6376.3
AZE,2023,6931.585449
BHR,2000,21.717324
BHR,2001,21.210025
BHR,2002,20.538317
BHR,2003,21.874078
BHR,2004,19.30406
BHR,2005,19.388621
BHR,2006,18.69569
BHR,2007,23.883039
BHR,2008,25.601123
BHR,2009,29.090331
BHR,2010,28.7775
BHR,2011,31.4724
BHR,2012,31.8807
BHR,2013,33.6215
BHR,2014,37.6493
BHR,2015,36.9206
BHR,2016,40.2615
BHR,2017,38.7685
BHR,2018,40.9435
BHR,2019,40.8704
BHR,2020,40.848838
BHR,2021,41.245599
BHR,2022,48.622904
BHR,2023,50.939194
BGD,2000,583661
BGD,2001,590372
BGD,2002,599004
BGD,2003,630569
BGD,2004,672025
BGD,2005,716238
BGD,2006,869847
BGD,2007,992642.057548
BGD,2008,1137247.206884
BGD,2009,1257108.884705
BGD,2010,1433063.587456
BGD,2011,1649774.675204
BGD,2012,1854819.700092
BGD,2013,2046420.978943
BGD,2014,2304185.689737
BGD,2015,2537948.927332
BGD,2016,2795049.697768
BGD,2017,3011669.616647
BGD,2018,3293801.75796
BGD,2019,3534431.16956
BGD,2020,3804463.844017
BGD,2021,4106614.076534
BGD,2022,4455312.973039
BGD,2023,4860227
BTN,2000,5289.423369
BTN,2001,5748.565569
BTN,2002,6661.754135
BTN,2003,7066.17825
BTN,2004,7635.068719
BTN,2005,7099.28
BTN,2006,7676.83
BTN,2007,8085.33
BTN,2008,8750.05
BTN,2009,9670.96
BTN,2010,10463.897685
BTN,2011,11856.47508
BTN,2012,13291.848121
BTN,2013,14501.322966
BTN,2014,16893.192338
BTN,2015,17986.896488
BTN,2016,19598.952321
BTN,2017,21819.451338
BTN,2018,23940.810579
BTN,2019,24916.971646
BTN,2020,28596.465327
BTN,2021,32326.302027
BTN,2022,33422.57756
BTN,2023,36667.691406
BRN,2000,113.311679
BRN,2001,121.729417
BRN,2002,122.307641
BRN,2003,149.249533
BRN,2004,160.36841
BRN,2005,160.582234
BRN,2006,137.617478
BRN,2007,136.073665
BRN,2008,138.985955
BRN,2009,151.708516
BRN,2010,137.061534
BRN,2011,133.471398
BRN,2012,155.942361
BRN,2013,155.061507
BRN,2014,186.919444
BRN,2015,196.129189
BRN,2016,189.548245
BRN,2017,181.955315
BRN,2018,186.235156
BRN,2019,181.187496
BRN,2020,201.672515
BRN,2021,236.459253
BRN,2022,252.150902
BRN,2023,267.913849
KHM,2000,5058301.03
KHM,2001,5365367.37
KHM,2002,5223621.46
KHM,2003,5925844.45
KHM,2004,6300676.07
KHM,2005,7909157.73
KHM,2006,8972385.58
KHM,2007,10406315.9
KHM,2008,13745090.15
KHM,2009,14420008.4
KHM,2010,15938294.82
KHM,2011,17993541.66
KHM,2012,18999437.41
KHM,2013,19376281.3
KHM,2014,19469880.7
KHM,2015,19516018.41
KHM,2016,20101402.28
KHM,2017,20985704.59
KHM,2018,21912637.31
KHM,2019,22785967.41
KHM,2020,24033610.76
KHM,2021,25247839.2
KHM,2022,26905198.719083
KHM,2023,28731088
CHN,2000,1494360
CHN,2001,1578000
CHN,2002,1653570
CHN,2003,1738060
CHN,2004,2141273.404113
CHN,2005,2242000
CHN,2006,2404000
CHN,2007,2862700
CHN,2008,3370200
CHN,2009,3522600
CHN,2010,4052180
CHN,2011,4748300
CHN,2012,5236870
CHN,2013,5697360
CHN,2014,5747220
CHN,2015,5985260
