col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
Andhra Pradesh,41.0,25.3,33.1,61.3,42.3,51.6,47.1,30.6,38.7
Arunachal Pradesh,29.8,23.1,26.5,46.3,36.9,41.8,32.8,25.4,29.2
Assam,48.9,36.4,42.7,65.8,54.8,60.4,50.9,38.6,44.9
Bihar,47.5,28.7,38.6,60.5,42.0,51.9,48.9,30.1,40.0
Chhattisgarh,48.5,32.1,40.3,73.0,60.0,66.6,53.3,37.4,45.4
Delhi,69.7,48.2,60.4,71.5,61.9,67.2,71.4,61.5,67.0
Goa,70.5,52.0,61.5,84.3,65.3,75.5,79.3,60.2,70.3
Gujarat,60.2,38.0,49.3,78.5,61.0,70.0,67.9,47.6,58.0
Haryana,62.5,41.8,52.6,66.3,49.3,58.5,64.0,44.6,54.9
Himachal Pradesh,65.4,48.0,56.4,77.8,64.6,71.7,66.9,49.7,58.1
Jharkhand,53.9,36.8,45.4,71.7,56.1,64.1,57.9,41.0,49.6
Karnataka,54.2,34.8,44.4,73.7,57.7,65.8,61.2,42.9,52.0
Kerala,54.3,43.3,48.4,56.0,44.7,50.1,55.1,43.9,49.2
Madhya Pradesh,48.2,31.3,40.0,66.9,51.6,59.4,53.0,36.5,45.0
Maharashtra,57.2,36.1,46.9,79.8,62.2,71.4,67.3,47.4,57.7
Manipur,42.2,32.1,37.2,42.0,26.3,34.1,42.2,30.1,36.1
Meghalaya,40.5,35.3,37.9,58.3,48.8,53.1,43.7,38.1,40.8
Mizoram,69.0,61.8,65.4,68.1,62.8,65.4,68.6,62.3,65.4
Nagaland,49.3,40.2,44.8,58.6,50.7,54.7,52.2,43.5,48.0
Odisha,36.2,24.1,30.1,57.7,43.5,50.6,39.5,27.1,33.3
Punjab,55.1,43.2,49.4,63.2,49.5,56.8,58.4,45.7,52.3
Rajasthan,52.8,28.8,40.8,69.4,48.5,59.3,57.5,34.1,45.9
Sikkim,69.4,64.0,66.8,83.2,75.2,79.5,73.1,66.8,70.1
Tamil Nadu,44.6,29.2,36.7,62.8,47.1,54.9,52.9,37.2,44.9
Telangana,51.3,35.5,43.2,71.3,54.5,63.2,59.9,43.1,51.5
Tripura,20.9,13.4,17.1,39.5,28.4,33.9,24.9,16.7,20.8
Uttar Pradesh,41.1,25.9,33.6,61.0,44.5,53.2,45.4,29.7,37.7
Uttarakhand,48.6,32.6,40.8,59.6,42.0,51.2,51.4,34.9,43.4
West Bengal,39.7,28.6,34.3,61.0,49.3,55.2,45.8,34.7,40.3
A & N Islands,47.2,37.5,42.6,64.1,54.0,59.1,54.4,44.9,49.8
Chandigarh,72.7,57.6,65.9,68.7,49.4,59.2,69.0,49.9,59.6
Dadra & Nagar Haveli,75.0,53.5,64.9,85.2,65.0,77.3,81.0,59.3,71.8
Jammu & Kashmir,58.0,37.3,47.9,72.5,55.9,64.7,60.8,40.7,51.0
Ladakh,45.1,29.3,37.4,53.0,43.5,48.1,46.2,31.5,38.9
Lakshadweep,53.6,41.8,48.0,49.3,34.5,42.0,50.3,36.0,43.3
Puducherry,70.5,53.5,61.8,76.7,56.8,66.5,74.7,55.7,64.9
all-India,48.1,31.4,39.8,68.0,52.0,60.2,54.2,37.6,46.1
