col1,col2,col3,col4,col5
Andhra Pradesh,73.7,62.6,73.3,48.4
Arunachal Pradesh,80.8,52.1,59.1,34.4
Assam,74.0,78.1,63.0,51.1
Bihar,76.3,67.7,58.1,49.2
Chhattisgarh,67.7,61.7,42.5,31.9
Delhi,80.2,70.4,68.8,52.3
Goa,83.7,80.9,67.2,58.6
Gujarat,65.3,63.8,49.1,31.9
Haryana,75.2,51.3,58.3,40.6
Himachal Pradesh,95.8,75.3,64.7,60.1
Jharkhand,74.6,66.1,57.0,43.4
Karnataka,83.5,71.7,66.4,49.7
Kerala,90.7,77.6,71.1,59.5
Madhya Pradesh,71.8,60.6,63.2,45.9
Maharashtra,80.0,68.8,63.8,48.2
Manipur,73.2,72.0,50.0,39.2
Meghalaya,67.9,56.9,33.8,23.6
Mizoram,90.8,57.2,46.1,39.9
Nagaland,91.4,71.7,60.8,49.9
Odisha,77.3,67.8,51.1,44.0
Punjab,69.0,54.8,52.1,37.3
Rajasthan,75.1,60.2,55.5,42.6
Sikkim,82.8,77.9,75.1,58.4
Tamil Nadu,76.8,78.8,71.6,52.9
Telangana,81.1,75.4,75.5,55.3
Tripura,56.5,59.3,37.1,15.3
Uttar Pradesh,58.5,55.7,49.8,33.2
Uttarakhand,73.8,55.0,46.4,36.2
West Bengal,70.2,54.9,38.5,32.0
A & N Islands,90.5,45.0,55.5,34.0
Chandigarh,46.3,64.3,100.0,46.3
Dadra & Nagar Haveli,73.2,41.7,44.9,29.8
Jammu & Kashmir,82.6,80.0,60.0,50.3
Ladakh,79.0,86.0,72.9,56.1
Lakshadweep,93.2,84.4,70.0,61.4
Puducherry,91.4,77.4,60.8,47.9
all-India,74.2,65.3,59.6,44.2
