col1,col2,col3,col4
Andhra Pradesh,99.8,99.6,99.8
Arunachal Pradesh,84.3,92.0,85.7
Assam,99.3,100.0,99.3
Bihar,99.8,100.0,99.8
Chhattisgarh,99.5,100.0,99.5
Delhi,100.0,100.0,100.0
Goa,100.0,100.0,100.0
Gujarat,100.0,100.0,100.0
Haryana,100.0,100.0,100.0
Himachal Pradesh,100.0,99.7,99.9
Jharkhand,100.0,100.0,100.0
Karnataka,100.0,100.0,100.0
Kerala,100.0,100.0,100.0
Madhya Pradesh,100.0,100.0,100.0
Maharashtra,99.6,99.8,99.8
Manipur,96.4,99.0,97.3
Meghalaya,98.0,100.0,98.3
Mizoram,99.0,100.0,99.4
Nagaland,100.0,100.0,100.0
Odisha,98.3,100.0,98.6
Punjab,100.0,100.0,100.0
Rajasthan,100.0,100.0,100.0
Sikkim,100.0,100.0,100.0
Tamil Nadu,100.0,100.0,100.0
Telangana,100.0,99.4,99.7
Tripura,97.4,96.7,97.3
Uttar Pradesh,99.9,100.0,99.9
Uttarakhand,100.0,100.0,100.0
West Bengal,96.9,99.4,97.5
A & N Islands,92.3,100.0,95.6
Chandigarh,100.0,100.0,100.0
Dadra & Nagar Haveli and,100.0,100.0,100.0
Jammu & Kashmir,99.6,100.0,99.6
Ladakh,100.0,100.0,100.0
Lakshadweep,61.5,75.9,72.6
Puducherry,100.0,100.0,100.0
all-India,99.5,99.8,99.7
