areaCode,year,FarmCredit
AFG,2008,1.259477
AFG,2010,11.894427
AFG,2011,11.575633
AFG,2012,14.524064
AFG,2013,19.018687
AFG,2014,17.388845
AFG,2015,17.675774
AFG,2016,20.133434
AFG,2017,26.330719
AFG,2018,25.250709
AFG,2019,21.509838
AFG,2020,19.864912
ARM,2000,36.830029
ARM,2001,32.00798
ARM,2002,26.333912
ARM,2003,26.365699
ARM,2004,26.19609
ARM,2005,33.311376
ARM,2006,39.987176
ARM,2007,60.462957
ARM,2008,93.018915
ARM,2009,109.875413
ARM,2010,120.868303
ARM,2011,162.477904
ARM,2012,205.732748
ARM,2013,223.485457
ARM,2014,270.135362
ARM,2015,288.105725
ARM,2016,284.44445
ARM,2017,268.628098
ARM,2018,270.736528
ARM,2019,297.593735
ARM,2020,364.529426
ARM,2021,383.66965
ARM,2022,379.019108
ARM,2023,443.437533
AZE,2005,172.220681
AZE,2006,216.335275
AZE,2007,258.334481
AZE,2008,268.09759
AZE,2009,498.749932
AZE,2010,490.750309
AZE,2011,423.464179
AZE,2012,481.711748
AZE,2013,643.855819
AZE,2014,753.634858
AZE,2015,495.918352
AZE,2016,375.473863
AZE,2017,313.969057
AZE,2018,306.392637
AZE,2019,355.04236
AZE,2020,399.767938
AZE,2021,343.561974
AZE,2022,266.049103
AZE,2023,248.192769
BHR,2000,20.853147
BHR,2001,30.49212
BHR,2002,26.763686
BHR,2003,26.314432
BHR,2004,31.987795
BHR,2005,29.779253
BHR,2006,19.759989
BHR,2007,17.942425
BHR,2008,21.900759
BHR,2009,15.623785
BHR,2010,14.272764
BHR,2011,21.595475
BHR,2012,27.39568
BHR,2013,24.680181
BHR,2014,26.547606
BHR,2015,17.021277
BHR,2016,16.183319
BHR,2017,20.365438
BHR,2018,5.542536
BHR,2019,16.128108
BHR,2020,31.00787
BHR,2021,30.593394
BHR,2022,35.709385
BHR,2023,37.140609
BGD,2002,3178.321934
BGD,2003,2942.973463
BGD,2004,2974.393198
BGD,2005,3069.514169
BGD,2006,2675.826762
BGD,2007,2413.54964
BGD,2008,2510.68258
BGD,2009,2643.880214
BGD,2010,2794.198196
BGD,2011,3271.100803
BGD,2012,3213.392664
BGD,2013,3296.803356
BGD,2014,3524.70497
BGD,2015,3778.212713
BGD,2016,4130.25207
BGD,2017,4323.608872
BGD,2018,4762.082962
BGD,2019,4957.591367
BGD,2020,4861.044882
BGD,2021,5184.469024
BGD,2022,5827.916712
BGD,2023,6122.73632
BTN,2001,6.586921
BTN,2002,7.142008
BTN,2003,7.463065
BTN,2004,6.466568
BTN,2005,6.480051
BTN,2006,6.213952
BTN,2007,7.765603
BTN,2008,12.564398
BTN,2009,15.080762
BTN,2010,10.655241
BTN,2011,13.788605
BTN,2012,20.394189
BTN,2013,26.59748
BTN,2014,36.919514
BTN,2015,54.361563
BTN,2016,66.55666
BTN,2017,72.02791
BTN,2018,79.122159
BTN,2019,85.10715
BTN,2020,85.779739
BTN,2021,79.381617
BTN,2022,57.475975
BTN,2023,54.87033
KHM,2004,24.642651
KHM,2005,24.849551
KHM,2006,50.976097
KHM,2007,98.227114
KHM,2008,148.006603
KHM,2009,198.247836
KHM,2010,239.660505
KHM,2011,411.772325
KHM,2012,591.808333
KHM,2013,741.766174
KHM,2014,970.962032
KHM,2015,1223.686074
KHM,2016,1458.662745
KHM,2017,1625.968197
KHM,2018,1679.807083
KHM,2019,1706.541273
KHM,2020,2142.095004
KHM,2021,2758.956887
KHM,2022,3218.642022
KHM,2023,3878.954331
CHN,2010,120062.12389
CHN,2011,120566.27947
CHN,2012,129592.02135
CHN,2013,151717.4658
CHN,2014,173399.77932
CHN,2015,181800.41096
CHN,2016,182783.50704
CHN,2017,186619.45135
CHN,2018,179203.99449
CHN,2019,181618.90326
GEO,2003,13.761143
GEO,2004,10.973008
GEO,2005,9.689406
GEO,2006,13.943564
GEO,2007,51.421189
GEO,2008,57.619795
GEO,2009,37.799298
GEO,2010,30.659514
GEO,2011,40.065015
GEO,2012,29.495465
GEO,2013,74.790095
GEO,2014,132.322767
GEO,2015,131.342497
GEO,2016,105.537736
GEO,2017,101.99003
GEO,2018,88.98619
GEO,2019,137.430049
GEO,2020,141.792028
GEO,2021,191.716564
GEO,2022,152.635691
GEO,2023,163.634305
