areaCode,year,Fertilizer
AFG,2000,0.650787
ARM,2000,15.5556
AZE,2000,2.24584
BHR,2000,172.139
BGD,2000,158.108
CHN,2000,287.448
GEO,2000,52.9634
IND,2000,103.786
IDN,2000,138.983
IRN,2000,93.3773
IRQ,2000,86.3256
ISR,2000,278.107
JPN,2000,324.609
JOR,2000,108.542
KAZ,2000,1.22682
PRK,2000,111.304
KOR,2000,455.959
KWT,2000,62.9
KGZ,2000,21.5332
LAO,2000,6.52609
LBN,2000,405.093
MYS,2000,1367.88
MNG,2000,2.89381
MMR,2000,20.7589
NPL,2000,31.017
OMN,2000,185.677
PAK,2000,95.4414
PHL,2000,145.918
QAT,2000,38.4615
SAU,2000,107.071
SGP,2000,3005
LKA,2000,269.907
SYR,2000,80.4712
TJK,2000,11.352
THA,2000,88.3104
TUR,2000,87.6694
TKM,2000,62.8766
ARE,2000,585
UZB,2000,163.214
VNM,2000,365.645
YEM,2000,9.83689
AFG,2001,2.3949
ARM,2001,10.989
AZE,2001,6.48254
BHR,2001,149.254
BGD,2001,174.59
CHN,2001,295.449
GEO,2001,35.2201
IND,2001,108.182
IDN,2001,147.055
IRN,2001,83.5773
IRQ,2001,148.651
ISR,2001,261.404
JPN,2001,304.68
JOR,2001,114.583
KAZ,2001,1.71664
PRK,2001,122.348
KOR,2001,424.276
KWT,2001,80.4615
KGZ,2001,20.5491
LAO,2001,12.6629
LBN,2001,488.142
MYS,2001,1289.3
MNG,2001,2.72028
MMR,2001,9.57958
NPL,2001,30.7966
OMN,2001,335.613
PAK,2001,94.0719
PHL,2001,156.785
QAT,2001,67.6692
SAU,2001,106.669
SGP,2001,2353
LKA,2001,266.45
SYR,2001,64.581
TJK,2001,15.4534
THA,2001,94.9415
TUR,2001,70.1918
TKM,2001,70.0017
ARE,2001,492.958
UZB,2001,160.745
VNM,2001,286.735
YEM,2001,11.1187
AFG,2002,3.19439
ARM,2002,34.5231
AZE,2002,10.4338
BHR,2002,987.441
BGD,2002,188.639
BTN,2002,6.94231
BRN,2002,168
KHM,2002,6.93728
CHN,2002,333.509
GEO,2002,33.0413
IND,2002,100.329
IDN,2002,138.745
IRN,2002,87.8961
IRQ,2002,141.022
ISR,2002,251.862
JPN,2002,292.873
JOR,2002,154.359
KAZ,2002,0.8361
PRK,2002,53.8643
KOR,2002,417.97
KWT,2002,83.3333
KGZ,2002,7.05056
LAO,2002,10.7333
LBN,2002,263.4
MYS,2002,1183.45
MDV,2002,6
MNG,2002,3.77378
MMR,2002,4.2901
NPL,2002,16.6809
OMN,2002,388.195
PAK,2002,97.7848
PHL,2002,139.34
QAT,2002,118.976
SAU,2002,101.857
SGP,2002,101.88
LKA,2002,304.563
SYR,2002,69.9184
TJK,2002,40.9792
THA,2002,100.001
TLS,2002,0.15495
TUR,2002,72.7959
TKM,2002,67.2074
ARE,2002,644.8
UZB,2002,160.348
VNM,2002,295.488
PSE,2002,212.179
YEM,2002,8.19788
AFG,2003,3.47855
ARM,2003,22.9978
AZE,2003,7.6421
BHR,2003,987.441
BGD,2003,160.267
BTN,2003,6.99363
BRN,2003,51
KHM,2003,5.48375
CHN,2003,328.658
GEO,2003,14.3691
IND,2003,105.177
IDN,2003,163.767
IRN,2003,93.4342
IRQ,2003,25.4889
ISR,2003,282.934
JPN,2003,301.859
JOR,2003,174.576
KAZ,2003,1.19039
PRK,2003,44.7891
KOR,2003,427.047
KWT,2003,83.3333
KGZ,2003,24.7106
LAO,2003,3.55432
LBN,2003,307.879
MYS,2003,1235.83
MDV,2003,8
MNG,2003,3.40503
MMR,2003,10.309
NPL,2003,5.05875
OMN,2003,205.157
PAK,2003,100.97
PHL,2003,166.996
QAT,2003,75.7576
SAU,2003,106.787
SGP,2003,128.333
LKA,2003,259.184
SYR,2003,75.8486
TJK,2003,22.6678
THA,2003,126.544
TLS,2003,0.0262626
TUR,2003,84.2947
TKM,2003,69.7712
ARE,2003,755.625
UZB,2003,155.906
VNM,2003,332.929
PSE,2003,198.751
YEM,2003,4.49681
AFG,2004,4.24378
ARM,2004,31.6505
AZE,2004,11.9748
BHR,2004,982.576
BGD,2004,170.671
BTN,2004,7.39873
BRN,2004,75.75
KHM,2004,6.81228
CHN,2004,352.264
GEO,2004,31.4668
IND,2004,115.272
IDN,2004,180.392
IRN,2004,98.4907
IRQ,2004,24.696
ISR,2004,320.9
