areaCode,year,ICTPolicy
AFG,2021,0.925926
ARM,2021,7.40741
AZE,2021,8.02469
BHR,2021,9.25926
BGD,2021,6.79012
BTN,2021,8.17901
BRN,2021,9.5679
KHM,2021,7.25309
CHN,2021,14.8148
GEO,2021,7.40741
IND,2021,19.4444
IDN,2021,10.8025
IRN,2021,8.33333
IRQ,2021,5.8642
ISR,2021,16.358
JPN,2021,14.5062
JOR,2021,9.87654
KAZ,2021,10.8025
KOR,2021,17.5941
KWT,2021,8.02469
KGZ,2021,12.6543
LAO,2021,8.64198
LBN,2021,7.09877
MYS,2021,16.6667
MDV,2021,3.39506
MNG,2021,10.1852
MMR,2021,4.62963
NPL,2021,3.7037
OMN,2021,11.7284
PAK,2021,17.5926
PSE,2021,1.23457
PHL,2021,14.8148
QAT,2021,15.1235
SAU,2021,16.6667
SGP,2021,18.8272
LKA,2021,12.963
SYR,2021,2.46914
TJK,2021,6.48148
THA,2021,18.8272
TLS,2021,1.54321
TUR,2021,11.8827
TKM,2021,9.25926
ARE,2021,16.9753
UZB,2021,4.01235
VNM,2021,6.17284
YEM,2021,1.85185
AFG,2023,1.85185
ARM,2023,10.8025
AZE,2023,8.64198
BHR,2023,9.25926
BGD,2023,6.79012
BTN,2023,8.95062
BRN,2023,12.6543
KHM,2023,11.1111
CHN,2023,17.284
GEO,2023,9.25926
IND,2023,19.4444
IDN,2023,13.8889
IRN,2023,8.7963
IRQ,2023,6.79012
ISR,2023,16.358
JPN,2023,12.6543
JOR,2023,10.8025
KAZ,2023,10.8025
KOR,2023,17.5941
KWT,2023,9.5679
KGZ,2023,13.5802
LAO,2023,8.64198
LBN,2023,7.09877
MYS,2023,19.7531
MDV,2023,4.32099
MNG,2023,10.8025
MMR,2023,9.5679
NPL,2023,3.7037
OMN,2023,17.284
PAK,2023,16.6667
PSE,2023,2.16049
PHL,2023,18.8272
QAT,2023,17.284
SAU,2023,16.6667
SGP,2023,21.2963
LKA,2023,12.963
SYR,2023,3.08642
TJK,2023,6.48148
THA,2023,18.8272
TLS,2023,3.08642
TUR,2023,12.3457
TKM,2023,9.25926
ARE,2023,15.1235
UZB,2023,5.8642
VNM,2023,7.09877
YEM,2023,1.85185
