areaCode,year,FarmCredit,ICTPolicy,ProductionValue,ProcessingValue,Fertilizer
AFG,2000,,,95339.869625,,0.650787
AFG,2001,,,91571.104917,,2.3949
AFG,2002,,,87425.0,,3.19439
AFG,2003,,,98889.092629,,3.47855
AFG,2004,,,89106.483084,,4.24378
AFG,2005,,,112480.707772,,
AFG,2006,,,122928.607685,,
AFG,2007,,,175086.177885,,
AFG,2008,1.259477,,150901.2995,,
AFG,2009,,,198018.725825,,
AFG,2010,11.894427,,208715.670762,,
AFG,2011,11.575633,,243601.036956,,
AFG,2012,14.524064,,278175.498101,,
AFG,2013,19.018687,,298046.130858,,
AFG,2014,17.388845,,297055.155311,,
AFG,2015,17.675774,,277151.282154,,
AFG,2016,20.133434,,320302.264167,,
AFG,2017,26.330719,,329185.780789,,
AFG,2018,25.250709,,311797.208953,,
AFG,2019,21.509838,,390899.32419,,
AFG,2020,19.864912,,460115.187513,,
AFG,2021,,0.925926,420363.939876,,
AFG,2022,,,432537.77528,,
AFG,2023,,1.85185,466204.96875,,
ARE,2000,,,,,585.0
ARE,2001,,,,,492.958
ARE,2002,,,,,644.8
ARE,2003,,,,,755.625
ARE,2021,,16.9753,,,
ARE,2023,,15.1235,,,
ARM,2000,36.830029,,239330.135633,,15.5556
ARM,2001,32.00798,,301016.898474,,10.989
ARM,2002,26.333912,,319613.628465,,34.5231
ARM,2003,26.365699,,349650.888539,,22.9978
ARM,2004,26.19609,,431462.715521,,31.6505
ARM,2005,33.311376,,427832.672185,,
ARM,2006,39.987176,,496579.739457,,
ARM,2007,60.462957,,574114.128748,,
ARM,2008,93.018915,,581288.908402,,
ARM,2009,109.875413,,530731.115239,,
ARM,2010,120.868303,,588433.524601,,
ARM,2011,162.477904,,768178.930698,,
ARM,2012,205.732748,,764237.5,,
ARM,2013,223.485457,,839821.1,,
ARM,2014,270.135362,,872631.1,,
ARM,2015,288.105725,,868671.0,253172.808798,
ARM,2015,288.105725,,868671.0,529.740764,
ARM,2016,284.44445,,830553.4,187058.236465,
ARM,2016,284.44445,,830553.4,387.515383,
ARM,2017,268.628098,,834354.6,302088.718337,
ARM,2017,268.628098,,834354.6,616.281781,
ARM,2018,270.736528,,838913.8,300469.014693,
ARM,2018,270.736528,,838913.8,594.774383,
ARM,2019,297.593735,,754157.8,294922.279871,
ARM,2019,297.593735,,754157.8,565.783936,
ARM,2020,364.529426,,701633.9,343241.196432,
ARM,2020,364.529426,,701633.9,635.000228,
ARM,2021,383.66965,7.40741,793115.7,346908.611248,
ARM,2021,383.66965,7.40741,793115.7,651.448904,
ARM,2022,379.019108,,881865.5,,
ARM,2023,443.437533,10.8025,917844.625,,
AZE,2000,,,758.92,,2.24584
AZE,2001,,,788.7,,6.48254
AZE,2002,,,846.0,,10.4338
AZE,2003,,,888.0,,7.6421
AZE,2004,,,937.3,,11.9748
AZE,2005,172.220681,,1137.9,,
AZE,2006,216.335275,,1329.4,,
AZE,2007,258.334481,,1901.0,,
AZE,2008,268.09759,,2246.0,,
AZE,2009,498.749932,,2179.5,,
AZE,2010,490.750309,,2344.6,,
AZE,2011,423.464179,,2643.5,,
AZE,2012,481.711748,,2813.7,,
AZE,2013,643.855819,,3122.2,,
AZE,2014,753.634858,,3139.2,,
AZE,2015,495.918352,,3359.4,,
AZE,2016,375.473863,,3386.8,,
AZE,2017,313.969057,,3944.1,,
AZE,2018,306.392637,,4174.8,,
AZE,2019,355.04236,,4664.2,,
AZE,2020,399.767938,,4891.0,,
AZE,2021,343.561974,8.02469,5336.8,,
AZE,2022,266.049103,,6376.3,,
AZE,2023,248.192769,8.64198,6931.585449,,
BGD,2000,,,583661.0,,158.108
BGD,2001,,,590372.0,,174.59
BGD,2002,3178.321934,,599004.0,,188.639
BGD,2003,2942.973463,,630569.0,,160.267
BGD,2004,2974.393198,,672025.0,,170.671
BGD,2005,3069.514169,,716238.0,,
BGD,2006,2675.826762,,869847.0,,
BGD,2007,2413.54964,,992642.057548,,
BGD,2008,2510.68258,,1137247.206884,,
BGD,2009,2643.880214,,1257108.884705,,
BGD,2010,2794.198196,,1433063.587456,,
BGD,2011,3271.100803,,1649774.675204,,
BGD,2012,3213.392664,,1854819.700092,249808.744409,
BGD,2012,3213.392664,,1854819.700092,3669.694917,
BGD,2013,3296.803356,,2046420.978943,,
BGD,2014,3524.70497,,2304185.689737,,
BGD,2015,3778.212713,,2537948.927332,,
BGD,2016,4130.25207,,2795049.697768,,
BGD,2017,4323.608872,,3011669.616647,,
BGD,2018,4762.082962,,3293801.75796,718222.475005,
BGD,2018,4762.082962,,3293801.75796,8075.724265,
BGD,2019,4957.591367,,3534431.16956,,
BGD,2020,4861.044882,,3804463.844017,854325.083976,
BGD,2020,4861.044882,,3804463.844017,9224.303917,
BGD,2021,5184.469024,6.79012,4106614.076534,,
BGD,2022,5827.916712,,4455312.973039,,
BGD,2023,6122.73632,6.79012,4860227.0,,
BHR,2000,20.853147,,21.717324,,172.139
BHR,2001,30.49212,,21.210025,,149.254
BHR,2002,26.763686,,20.538317,,987.441
BHR,2003,26.314432,,21.874078,,987.441
BHR,2004,31.987795,,19.30406,,982.576
BHR,2005,29.779253,,19.388621,,
BHR,2006,19.759989,,18.69569,,
BHR,2007,17.942425,,23.883039,,
BHR,2008,21.900759,,25.601123,,
BHR,2009,15.623785,,29.090331,,
BHR,2010,14.272764,,28.7775,,
BHR,2011,21.595475,,31.4724,,
BHR,2012,27.39568,,31.8807,,
BHR,2013,24.680181,,33.6215,,
BHR,2014,26.547606,,37.6493,,
BHR,2015,17.021277,,36.9206,,
BHR,2016,16.183319,,40.2615,,
BHR,2017,20.365438,,38.7685,,
BHR,2018,5.542536,,40.9435,,
BHR,2019,16.128108,,40.8704,,
BHR,2020,31.00787,,40.848838,,
BHR,2021,30.593394,9.25926,41.245599,,
BHR,2022,35.709385,,48.622904,,
BHR,2023,37.140609,9.25926,50.939194,,
BRN,2000,,,113.311679,,
BRN,2001,,,121.729417,,
BRN,2002,,,122.307641,,168.0
BRN,2003,,,149.249533,,51.0
BRN,2004,,,160.36841,,75.75
BRN,2005,,,160.582234,,
BRN,2006,,,137.617478,,
BRN,2007,,,136.073665,,
BRN,2008,,,138.985955,,
BRN,2009,,,151.708516,,
BRN,2010,,,137.061534,,
BRN,2011,,,133.471398,,
BRN,2012,,,155.942361,,
BRN,2013,,,155.061507,,
BRN,2014,,,186.919444,,
BRN,2015,,,196.129189,,
BRN,2016,,,189.548245,,
BRN,2017,,,181.955315,,
BRN,2018,,,186.235156,,
BRN,2019,,,181.187496,,
BRN,2020,,,201.672515,,
BRN,2021,,9.5679,236.459253,,
BRN,2022,,,252.150902,,
BRN,2023,,12.6543,267.913849,,
BTN,2000,,,5289.423369,,
BTN,2001,6.586921,,5748.565569,,
BTN,2002,7.142008,,6661.754135,,6.94231
BTN,2003,7.463065,,7066.17825,,6.99363
BTN,2004,6.466568,,7635.068719,,7.39873
BTN,2005,6.480051,,7099.28,,
BTN,2006,6.213952,,7676.83,,
BTN,2007,7.765603,,8085.33,,
BTN,2008,12.564398,,8750.05,,
BTN,2009,15.080762,,9670.96,,
BTN,2010,10.655241,,10463.897685,,
BTN,2011,13.788605,,11856.47508,,
BTN,2012,20.394189,,13291.848121,,
BTN,2013,26.59748,,14501.322966,,
BTN,2014,36.919514,,16893.192338,,
BTN,2015,54.361563,,17986.896488,,
BTN,2016,66.55666,,19598.952321,,
BTN,2017,72.02791,,21819.451338,,
BTN,2018,79.122159,,23940.810579,,
BTN,2019,85.10715,,24916.971646,,
BTN,2020,85.779739,,28596.465327,,
BTN,2021,79.381617,8.17901,32326.302027,,
BTN,2022,57.475975,,33422.57756,,
BTN,2023,54.87033,8.95062,36667.691406,,
CHN,2000,,,1494360.0,,287.448
CHN,2001,,,1578000.0,,295.449
CHN,2002,,,1653570.0,,333.509
CHN,2003,,,1738060.0,,328.658
CHN,2004,,,2141273.404113,,352.264
CHN,2005,,,2242000.0,,
CHN,2006,,,2404000.0,,
CHN,2007,,,2862700.0,,
CHN,2008,,,3370200.0,,
CHN,2009,,,3522600.0,,
CHN,2010,120062.12389,,4052180.0,,
CHN,2011,120566.27947,,4748300.0,,
CHN,2012,129592.02135,,5236870.0,,
CHN,2013,151717.4658,,5697360.0,,
CHN,2014,173399.77932,,5747220.0,,
CHN,2015,181800.41096,,5985260.0,,
CHN,2016,182783.50704,,,,
CHN,2017,186619.45135,,,,
CHN,2018,179203.99449,,,,
CHN,2019,181618.90326,,,,
CHN,2021,,14.8148,,,
CHN,2023,,17.284,,,
GEO,2000,,,,249.385723,52.9634
GEO,2000,,,,189.231287,52.9634
GEO,2001,,,,274.518692,35.2201
GEO,2001,,,,186.541045,35.2201
GEO,2002,,,,270.504407,33.0413
GEO,2002,,,,178.213605,33.0413
GEO,2003,13.761143,,,361.894715,14.3691
GEO,2003,13.761143,,,220.083551,14.3691
GEO,2004,10.973008,,,467.440083,31.4668
GEO,2004,10.973008,,,284.039148,31.4668
GEO,2005,9.689406,,,517.209289,
GEO,2005,9.689406,,,304.873553,
GEO,2006,13.943564,,,478.44604,
GEO,2006,13.943564,,,299.997108,
GEO,2007,51.421189,,,504.876924,
GEO,2007,51.421189,,,302.209341,
GEO,2008,57.619795,,,416.408367,
GEO,2008,57.619795,,,227.721783,
GEO,2009,37.799298,,,518.816875,
GEO,2009,37.799298,,,295.228705,
GEO,2010,30.659514,,,629.47416,
GEO,2010,30.659514,,,327.226276,
GEO,2011,40.065015,,,778.170982,
GEO,2011,40.065015,,,373.446521,
GEO,2012,29.495465,,,885.08836,
GEO,2012,29.495465,,,462.002465,
GEO,2013,74.790095,,,1202.389407,
GEO,2013,74.790095,,,646.258007,
GEO,2014,132.322767,,,1479.758436,
GEO,2014,132.322767,,,750.789248,
GEO,2015,131.342497,,,1175.299086,
GEO,2015,131.342497,,,517.903101,
GEO,2016,105.537736,,,1269.958485,
GEO,2016,105.537736,,,625.477239,
GEO,2017,101.99003,,,1483.431537,
GEO,2017,101.99003,,,592.048075,
GEO,2018,88.98619,,,1530.801886,
GEO,2018,88.98619,,,565.85941,
GEO,2019,137.430049,,,1792.720169,
GEO,2019,137.430049,,,605.739699,
GEO,2020,141.792028,,,1865.493215,
GEO,2020,141.792028,,,555.531211,
GEO,2021,191.716564,7.40741,,2399.053743,
GEO,2021,191.716564,7.40741,,583.092855,
GEO,2022,152.635691,,,,
GEO,2023,163.634305,9.25926,,,
IDN,2000,,,,,138.983
IDN,2001,,,,,147.055
IDN,2002,,,,,138.745
IDN,2003,,,,,163.767
IDN,2004,,,,,180.392
IDN,2021,,10.8025,,,
IDN,2023,,13.8889,,,
IND,2000,,,,,103.786
IND,2001,,,,,108.182
IND,2002,,,,,100.329
IND,2003,,,,,105.177
IND,2004,,,,,115.272
IND,2008,,,,762307.51622,
IND,2008,,,,16254.46708,
IND,2009,,,,860381.413372,
IND,2009,,,,17546.91678,
IND,2010,,,,1086549.797581,
IND,2010,,,,19993.61958,
IND,2011,,,,1256547.655818,
IND,2011,,,,22080.272538,
IND,2012,,,,1346186.591232,
IND,2012,,,,22362.532668,
IND,2013,,,,1483385.453508,
IND,2013,,,,23742.672764,
IND,2014,,,,1575417.669065,
IND,2014,,,,24817.967598,
IND,2015,,,,1862164.657931,
IND,2015,,,,29027.407875,
IND,2016,,,,2187669.495178,
IND,2016,,,,33847.001216,
IND,2017,,,,2423921.149324,
IND,2017,,,,36665.838138,
IND,2018,,,,2650082.203765,
IND,2018,,,,38561.245828,
IND,2019,,,,2684555.338386,
IND,2019,,,,39406.351813,
IND,2020,,,,2779622.454678,
IND,2020,,,,40552.650232,
IND,2021,,19.4444,,3370936.657004,
IND,2021,,19.4444,,45035.001393,
IND,2023,,19.4444,,,
IRN,2000,,,,,93.3773
IRN,2001,,,,,83.5773
IRN,2002,,,,,87.8961
IRN,2003,,,,,93.4342
IRN,2004,,,,,98.4907
IRN,2021,,8.33333,,,
IRN,2023,,8.7963,,,
IRQ,2000,,,,,86.3256
IRQ,2001,,,,,148.651
IRQ,2002,,,,,141.022
IRQ,2003,,,,,25.4889
IRQ,2004,,,,,24.696
IRQ,2021,,5.8642,,,
IRQ,2023,,6.79012,,,
ISR,2000,,,,10607.2588,278.107
ISR,2000,,,,4043.300235,278.107
ISR,2001,,,,10464.863765,261.404
ISR,2001,,,,3918.743505,261.404
ISR,2002,,,,10328.523317,251.862
ISR,2002,,,,3656.639744,251.862
ISR,2003,,,,10169.84632,282.934
ISR,2003,,,,3745.224397,282.934
ISR,2004,,,,9742.412581,320.9
ISR,2004,,,,3500.524582,320.9
ISR,2005,,,,10256.814346,
ISR,2005,,,,3677.923376,
ISR,2006,,,,10971.120743,
ISR,2006,,,,3739.859555,
ISR,2007,,,,12021.23491,
ISR,2007,,,,3916.238707,
ISR,2008,,,,13403.56241,
ISR,2008,,,,4147.062873,
ISR,2009,,,,13999.638856,
ISR,2009,,,,4072.598428,
ISR,2010,,,,14064.828939,
ISR,2010,,,,4243.088067,
ISR,2011,,,,15165.410248,
ISR,2011,,,,4540.413232,
ISR,2012,,,,15584.405867,
ISR,2012,,,,4367.913861,
ISR,2013,,,,16718.013505,
ISR,2013,,,,4730.340265,
ISR,2014,,,,16713.17825,
ISR,2014,,,,4648.559114,
ISR,2015,,,,17297.179037,
ISR,2015,,,,4450.198286,
ISR,2016,,,,18453.441277,
ISR,2016,,,,4666.070216,
ISR,2017,,,,19599.921345,
ISR,2017,,,,5193.335289,
ISR,2018,,,,20366.149332,
ISR,2018,,,,5514.992589,
ISR,2019,,,,21122.556215,
ISR,2019,,,,5649.969759,
ISR,2020,,,,20529.467051,
ISR,2020,,,,5807.451293,
ISR,2021,,16.358,,20727.061297,
ISR,2021,,16.358,,6086.634238,
ISR,2023,,16.358,,,
JOR,2000,,,,,108.542
JOR,2001,,,,,114.583
JOR,2002,,,,,154.359
JOR,2003,,,,,174.576
JOR,2021,,9.87654,,,
JOR,2023,,10.8025,,,
JPN,2000,,,,12956329.865345,324.609
JPN,2000,,,,84245.968932,324.609
JPN,2001,,,,12816777.550329,304.68
JPN,2001,,,,84608.489806,304.68
JPN,2002,,,,12815318.991317,292.873
JPN,2002,,,,86248.342327,292.873
JPN,2003,,,,12560197.889059,301.859
JPN,2003,,,,87440.331271,301.859
JPN,2004,,,,12303175.660124,
JPN,2004,,,,88489.524473,
JPN,2005,,,,11987136.576883,
JPN,2005,,,,88650.204072,
JPN,2006,,,,11599287.220296,
JPN,2006,,,,88725.078969,
JPN,2007,,,,12143601.148865,
JPN,2007,,,,94835.351149,
JPN,2021,,14.5062,,,
JPN,2023,,12.6543,,,
KAZ,2000,,,,,1.22682
KAZ,2001,,,,,1.71664
KAZ,2002,,,,,0.8361
KAZ,2003,,,,,1.19039
KAZ,2009,,,,372914.177468,
KAZ,2009,,,,2909.26495,
KAZ,2010,,,,489108.4,
KAZ,2010,,,,3245.303025,
