file,data_label,variable,variable_label
LEVEL - 03.dta,,Survey_Name,Survey Name
LEVEL - 03.dta,,Year,Year
LEVEL - 03.dta,,FSU_Serial_No,FSU Serial No.
LEVEL - 03.dta,,Sector,Sector
LEVEL - 03.dta,,State,State
LEVEL - 03.dta,,NSS_Region,NSS-Region
LEVEL - 03.dta,,District,District
LEVEL - 03.dta,,Stratum,Stratum
LEVEL - 03.dta,,Sub_stratum,Sub-stratum
LEVEL - 03.dta,,Panel,Panel
LEVEL - 03.dta,,Sub_sample,Sub-sample
LEVEL - 03.dta,,FOD_Sub_Region,FOD-Sub-Region
LEVEL - 03.dta,,Sample_SU_No,Sample SU No.
LEVEL - 03.dta,,Sample_Sub_Division_No,Sample Sub-division no.
LEVEL - 03.dta,,Second_Stage_Stratum_No,Second-stage-stratum no.
LEVEL - 03.dta,,Sample_Household_No,Sample hhld. No.
LEVEL - 03.dta,,Questionnaire_No,Questionnaire No.
LEVEL - 03.dta,,Level,Level
LEVEL - 03.dta,,HH_Size_FDQ,HH Size (For FDQ)
LEVEL - 03.dta,,Engaged_in_Economic_Activity_Las,Whether any household member (excluding those employed by the household and payi
LEVEL - 03.dta,,NCO_2015_Code,NCO-2015 Code(3-digit)
LEVEL - 03.dta,,NIC_2008_Code,NIC-2008 Code(5-digit)
LEVEL - 03.dta,,Max_Income_Activity,Broad activities from which maximum income was derived by the household during l
LEVEL - 03.dta,,Self_Employment_Source_Sector,Whether major source of income from self- employment was from agricultural / non
LEVEL - 03.dta,,Regular_Wage_Source_Sector,Whether the major income from regular wage/salary earning from agricultural /non
LEVEL - 03.dta,,Casual_Labour_Source_Sector,Whether the major income from casual labour was from agriculturalsector/ non- ag
LEVEL - 03.dta,,Household_Type,Household Type
LEVEL - 03.dta,,Religion_of_HH_Head,Religion of the head of the household
LEVEL - 03.dta,,Social_Group_of_HH_Head,Social Group of the head of the household
