,non_NaN_count
code,300
year,300
FarmCredit,42
ICTPolicy,34
ProductionValue,55
ProcessingValue,82
Fertilizer,0
Rural Access to Electricity(Percent of Population),0
Mobile Cellular Subscriptions (per 100 people),0
Fixed Broadband Subsciptions (per 100 people),0
"Fertility rate, total (births per woman)",236
"GDP per capita, PPP (constant 2021 international $)",235
"Life expectancy at birth, total (years)",236
"Mortality rate, infant (per 1,000 live births)",236
Population density (people per sq. km of land area),220
Population growth (annual %),236
"Population, total",236
Poverty headcount ratio at national poverty lines (% of population),55
Rural population (% of total population),236
Urban population (% of total population),236
Account (% age 15+),64
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),64
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",64
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",64
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",64
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",63
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",64
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",63
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",64
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",64
"Account, female (% age 15+)",64
"Account, male (% age 15+)",64
"Account, rural (% age 15+)",10
"Account, urban (% age 15+)",11
Current account balance (% of GDP),232
"Current account balance (BoP, current US$)",239
Financial institution account (% age 15+),64
"Financial institution account, female (% age 15+)",64
"Financial institution account, male (% age 15+)",64
"Financial institution account, rural (% age 15+)",10
"Financial institution account, urban (% age 15+)",11
"Made a deposit (% with a financial institution account, age 15+)",48
Made a digital in-store merchant payment (age 15+),16
Made a digital in-store merchant payment: using a mobile phone (% age 15+),16
"Made a digital in-store merchant payment: using a mobile phone, female (% age 15+)",16
"Made a digital in-store merchant payment: using a mobile phone, male (% age 15+)",16
"Made a digital in-store merchant payment: using a mobile phone, rural (% age 15+)",10
"Made a digital in-store merchant payment: using a mobile phone, urban (% age 15+)",11
Made a digital merchant payment (% age 15+),16
"Made a digital merchant payment, female (% age 15+)",16
"Made a digital merchant payment, male (% age 15+)",16
